﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Jul-2018,00:00,01-Jul-2018,00:15,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,17.5,85.0,18.0,739.0,,,44.0,13.0,0.4,56.3,30.2,0.35,,3.0,,4.1,11.5,,4.4,,,0.0,,8.3,10.5,,,0.0,,,,,,,
01-Jul-2018,00:15,01-Jul-2018,00:30,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Jul-2018,00:30,01-Jul-2018,00:45,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,18.1,84.0,19.0,739.0,,,44.0,13.0,1.3,54.3,29.9,0.34,,6.2,,3.0,8.7,,3.1,,,0.0,,8.2,11.8,,,0.0,,,,,,,
01-Jul-2018,00:45,01-Jul-2018,01:00,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,18.3,84.0,19.0,739.0,,,78.0,14.0,0.6,53.7,29.1,0.32,,6.3,,3.3,9.2,,3.4,,,0.0,,8.3,13.1,,,0.0,,,,,,,
01-Jul-2018,01:00,01-Jul-2018,01:15,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,18.5,83.0,19.0,739.0,,,78.0,14.0,1.5,53.4,29.6,0.33,,6.3,,3.9,10.5,,3.6,,,0.0,,8.5,12.5,,,0.0,,,,,,,
01-Jul-2018,01:15,01-Jul-2018,01:30,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,18.4,83.0,20.0,739.0,,,78.0,14.0,2.3,51.1,29.1,0.29,,8.1,,4.5,11.8,,4.1,,,0.0,,8.6,10.5,,,0.0,,,,,,,
01-Jul-2018,01:30,01-Jul-2018,01:45,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,18.4,83.0,20.0,739.0,,,78.0,14.0,2.0,52.0,29.3,0.26,,4.3,,5.8,14.2,,4.9,,,0.0,,8.7,9.8,,,0.0,,,,,,,
01-Jul-2018,01:45,01-Jul-2018,02:00,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,18.4,83.0,20.0,739.0,,,78.0,26.0,0.5,49.3,26.7,0.26,,7.9,,6.0,15.3,,5.5,,,0.0,,9.3,8.4,,,0.5,,,,,,,
01-Jul-2018,02:00,01-Jul-2018,02:15,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,18.4,83.0,20.0,739.0,,,78.0,26.0,1.1,53.4,29.3,0.31,,6.1,,5.6,15.0,,5.3,,,0.0,,9.9,9.1,,,0.0,,,,,,,
01-Jul-2018,02:15,01-Jul-2018,02:30,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,18.3,84.0,20.0,739.0,,,78.0,26.0,0.4,58.6,31.5,0.31,,3.9,,5.1,15.0,,4.9,,,0.0,,10.7,15.3,,,0.0,,,,,,,
01-Jul-2018,02:30,01-Jul-2018,02:45,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,,,,18.1,84.0,21.0,739.0,,,78.0,26.0,,59.6,29.5,0.31,,,,7.2,20.5,,5.6,,,0.0,,10.6,16.1,,,0.0,,,,,,,
