﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Aug-2018,00:00,01-Aug-2018,00:15,Punjab,Bathinda ,"Hardev Nagar, Bathinda - PPCB",1.67,96.5,,,,89.43,202.87,810.5,,,78.72,45.0,7.78,10.75,18.54,0.34,,,,,,,,,,,,,8.77,35.58,,,,,,,,,
01-Aug-2018,00:15,01-Aug-2018,00:30,Punjab,Bathinda ,"Hardev Nagar, Bathinda - PPCB",1.64,113.03,,,,89.4,204.9,810.5,,,78.72,45.0,7.76,10.75,18.51,0.38,,,,,,,,,,,,,,35.54,,,,,,,,,
01-Aug-2018,00:30,01-Aug-2018,00:45,Punjab,Bathinda ,"Hardev Nagar, Bathinda - PPCB",1.66,112.68,,,,89.27,208.42,810.5,,,78.72,45.0,7.76,10.71,18.47,0.55,,,,,,,,,,,,,7.42,35.41,,,,,,,,,
01-Aug-2018,00:45,01-Aug-2018,01:00,Punjab,Bathinda ,"Hardev Nagar, Bathinda - PPCB",1.67,111.39,,,,86.93,211.59,810.5,,,78.51,45.0,7.67,10.64,18.32,0.55,,,,,,,,,,,,,7.43,33.23,,,,,,,,,
01-Aug-2018,01:00,01-Aug-2018,01:15,Punjab,Bathinda ,"Hardev Nagar, Bathinda - PPCB",1.67,117.77,,,,85.77,215.44,810.5,,,77.16,45.0,7.72,10.73,18.45,0.58,,,,,,,,,,,,,7.26,32.4,,,,,,,,,
01-Aug-2018,01:15,01-Aug-2018,01:30,Punjab,Bathinda ,"Hardev Nagar, Bathinda - PPCB",1.77,143.28,,,,89.34,218.35,810.5,,,77.16,45.0,7.74,10.75,18.49,0.59,,,,,,,,,,,,,7.24,35.49,,,,,,,,,
01-Aug-2018,01:30,01-Aug-2018,01:45,Punjab,Bathinda ,"Hardev Nagar, Bathinda - PPCB",2.95,142.63,,,,89.46,224.41,810.5,,,77.16,45.0,7.77,10.73,18.5,0.59,,,,,,,,,,,,,6.95,35.58,,,,,,,,,
01-Aug-2018,01:45,01-Aug-2018,02:00,Punjab,Bathinda ,"Hardev Nagar, Bathinda - PPCB",2.35,149.24,,,,89.45,230.94,810.5,,,77.05,45.79,7.77,10.69,18.46,0.5,,,,,,,,,,,,,7.68,35.58,,,,,,,,,
01-Aug-2018,02:00,01-Aug-2018,02:15,Punjab,Bathinda ,"Hardev Nagar, Bathinda - PPCB",1.95,141.65,,,,89.43,237.5,810.5,,,76.38,45.8,7.81,10.72,18.52,,,,,,,,,,,,,,8.55,35.56,,,,,,,,,
01-Aug-2018,02:15,01-Aug-2018,02:30,Punjab,Bathinda ,"Hardev Nagar, Bathinda - PPCB",1.78,171.53,,,,89.42,243.15,810.5,,,76.38,45.8,7.79,10.74,18.52,0.41,,,,,,,,,,,,,,35.57,,,,,,,,,
01-Aug-2018,02:30,01-Aug-2018,02:45,Punjab,Bathinda ,"Hardev Nagar, Bathinda - PPCB",2.95,142.63,,,,89.46,224.41,810.5,,,77.16,45.0,7.77,10.73,18.5,0.59,,,,,,,,,,,,,6.95,35.58,,,,,,,,,
01-Aug-2018,02:45,01-Aug-2018,03:00,Punjab,Bathinda ,"Hardev Nagar, Bathinda - PPCB",,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
01-Aug-2018,03:00,01-Aug-2018,03:15,Punjab,Bathinda ,"Hardev Nagar, Bathinda - PPCB",1.32,240.78,,,,89.4,251.06,810.5,,,76.43,50.08,7.76,10.74,18.5,0.49,,,,,,,,,,,,,6.68,35.55,,,,,,,,,
01-Aug-2018,03:15,01-Aug-2018,03:30,Punjab,Bathinda ,"Hardev Nagar, Bathinda - PPCB",1.59,250.32,,,,89.41,239.48,810.5,,,76.43,50.08,7.73,10.75,18.48,0.51,,,,,,,,,,,,,6.4,35.56,,,,,,,,,
01-Aug-2018,03:30,01-Aug-2018,03:45,Punjab,Bathinda ,"Hardev Nagar, Bathinda - PPCB",1.73,227.75,,,,89.42,248.57,810.5,,,76.38,45.8,7.78,10.75,18.53,0.41,,,,,,,,,,,,,6.77,35.54,,,,,,,,,
01-Aug-2018,03:45,01-Aug-2018,04:00,Punjab,Bathinda ,"Hardev Nagar, Bathinda - PPCB",1.67,218.85,,,,89.4,198.47,810.5,,,76.61,52.94,7.72,10.64,18.36,0.46,,,,,,,,,,,,,7.73,35.52,,,,,,,,,
