﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Aug-2018,00:00,01-Aug-2018,00:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",24.72,1009.1,,21.95,,6.96,,1.16,247.7,0.92,0.78,0.36,,,17.59,4.9,11.29,4.85,4.07
01-Aug-2018,00:15,01-Aug-2018,00:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",24.7,1010.4,,21.95,,7.58,,1.3,242.3,0.95,0.78,0.4,,,16.62,4.69,10.61,8.53,4.07
01-Aug-2018,00:30,01-Aug-2018,00:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",24.64,1010.2,,21.95,,7.2,,1.08,247.45,0.93,0.79,0.34,,,15.56,5.02,10.3,6.9,4.42
01-Aug-2018,00:45,01-Aug-2018,01:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",24.61,1008.8,,21.9,,7.77,,1.1,242.32,0.91,0.79,0.34,,,14.84,4.65,9.63,7.71,4.61
01-Aug-2018,01:00,01-Aug-2018,01:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",24.6,1011.3,,20.84,,8.57,,1.01,242.31,0.96,0.78,0.31,,,14.44,4.58,9.36,10.2,4.76
01-Aug-2018,01:15,01-Aug-2018,01:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",24.63,1010.9,,20.84,,8.44,,1.07,240.32,0.95,0.75,0.33,,,14.37,4.64,9.37,11.77,4.14
01-Aug-2018,01:30,01-Aug-2018,01:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",24.62,1010.8,,20.84,,7.66,,0.83,237.46,0.95,0.76,0.26,,,14.18,4.46,9.12,12.46,4.5
01-Aug-2018,01:45,01-Aug-2018,02:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",24.55,1010.0,,20.88,,7.17,,0.73,243.31,0.94,0.76,0.23,,,14.08,4.64,9.22,12.51,4.26
01-Aug-2018,02:00,01-Aug-2018,02:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",24.55,1009.5,,22.1,,7.82,,0.61,244.03,0.92,0.79,0.19,,,13.74,4.56,8.97,10.16,4.0
01-Aug-2018,02:15,01-Aug-2018,02:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",24.51,1009.0,,22.1,,7.45,,0.89,247.12,0.92,0.79,0.28,,,13.64,4.8,9.11,8.88,3.63
01-Aug-2018,02:30,01-Aug-2018,02:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",24.5,1010.5,,22.1,,7.54,,0.39,239.65,0.93,0.76,0.12,,,14.21,4.89,9.48,9.42,4.23
01-Aug-2018,02:45,01-Aug-2018,03:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",24.47,1011.5,,21.91,,7.37,,0.72,239.74,0.97,0.81,0.22,,,14.44,4.64,9.41,13.56,3.95
01-Aug-2018,03:00,01-Aug-2018,03:15,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",24.41,1009.3,,17.79,,7.63,,0.78,245.68,0.9,0.77,0.24,,,14.78,4.92,9.81,9.61,4.47
01-Aug-2018,03:15,01-Aug-2018,03:30,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",24.38,1009.1,,17.79,,7.43,,0.9,243.1,0.9,0.77,0.28,,,15.3,5.15,10.27,8.64,3.84
01-Aug-2018,03:30,01-Aug-2018,03:45,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",24.35,1010.3,,17.79,,7.07,,0.84,243.02,0.92,0.71,0.26,,,15.25,4.79,9.95,4.84,4.64
01-Aug-2018,03:45,01-Aug-2018,04:00,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",24.31,1009.3,,17.69,,6.96,,0.94,238.86,0.92,0.69,0.29,,,15.13,4.74,9.85,4.89,4.49
