﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Aug-2018,00:00,01-Aug-2018,00:15,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",23.18,,,,,,,,137.0,0.17,0.0,,,5.04,4.99,,,,11.85
01-Aug-2018,00:15,01-Aug-2018,00:30,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",23.21,,43.46,22.12,,,,,203.57,0.21,0.0,1.93,,4.91,4.9,4.91,9.81,4.86,12.09
01-Aug-2018,00:30,01-Aug-2018,00:45,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",23.36,,41.69,17.96,,,,,103.93,0.25,0.0,0.29,,5.01,4.81,4.98,9.79,5.01,12.15
01-Aug-2018,00:45,01-Aug-2018,01:00,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",21.98,,40.3,14.28,,,,,136.51,0.28,0.0,0.62,,5.0,4.53,5.13,9.66,5.64,11.89
01-Aug-2018,01:00,01-Aug-2018,01:15,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",23.51,,39.01,20.01,,,,,210.62,0.21,0.0,0.0,,5.09,4.76,5.14,9.9,4.22,12.21
01-Aug-2018,01:15,01-Aug-2018,01:30,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",27.94,,36.88,24.36,,,,,205.61,14.47,0.0,0.0,,5.06,4.48,5.37,9.85,4.57,12.02
01-Aug-2018,01:30,01-Aug-2018,01:45,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",23.57,,34.04,25.13,,,,,259.42,0.55,0.0,0.0,,5.36,4.65,5.37,9.98,4.23,11.95
01-Aug-2018,01:45,01-Aug-2018,02:00,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",23.2,,32.13,16.49,,,,,185.5,0.48,0.0,1.12,,5.9,5.13,5.74,10.86,5.11,12.04
01-Aug-2018,02:00,01-Aug-2018,02:15,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",22.91,,28.73,14.12,,,,,239.12,0.44,0.0,1.69,,5.82,5.55,5.35,10.89,5.81,11.87
01-Aug-2018,02:15,01-Aug-2018,02:30,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",22.99,,25.15,15.74,,,,,246.07,0.37,0.0,0.0,,5.49,5.85,5.31,11.15,6.57,11.85
01-Aug-2018,02:30,01-Aug-2018,02:45,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",23.02,,19.02,16.51,,,,,241.57,0.32,0.0,0.0,,5.2,5.98,5.27,11.25,5.98,11.82
01-Aug-2018,02:45,01-Aug-2018,03:00,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",23.11,,14.51,19.63,,,,,226.94,0.26,0.0,0.0,,5.05,5.89,5.6,11.49,4.57,11.85
01-Aug-2018,03:00,01-Aug-2018,03:15,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",23.11,,11.37,19.22,,,,,224.71,0.39,0.0,0.0,,4.92,5.64,5.86,11.51,4.35,11.94
01-Aug-2018,03:15,01-Aug-2018,03:30,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",23.11,,12.27,21.21,,,,,236.5,0.49,0.0,0.0,,4.89,6.26,5.71,11.97,6.69,11.81
01-Aug-2018,03:30,01-Aug-2018,03:45,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",23.09,,18.51,15.8,,,,,228.5,0.52,0.0,0.0,,4.8,6.68,5.39,12.06,5.6,12.03
01-Aug-2018,03:45,01-Aug-2018,04:00,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",23.13,,18.13,19.39,,,,,230.62,0.47,0.0,0.0,,4.79,6.79,5.3,12.08,4.72,11.99
01-Aug-2018,04:00,01-Aug-2018,04:15,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",23.17,,13.66,23.37,,,,,234.56,0.4,0.0,0.0,,4.7,6.81,5.32,12.13,6.96,11.94
01-Aug-2018,04:15,01-Aug-2018,04:30,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",23.26,,14.47,26.38,,,,,231.07,0.47,0.0,0.0,,4.73,6.68,5.38,12.07,5.23,11.95
01-Aug-2018,04:30,01-Aug-2018,04:45,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",23.3,,27.57,23.23,,,,,233.0,0.39,0.0,0.0,,4.59,6.82,5.41,12.24,5.84,11.88
01-Aug-2018,04:45,01-Aug-2018,05:00,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",23.34,,31.91,20.52,,,,,233.75,0.36,0.0,0.0,,4.6,6.88,5.46,12.34,6.18,11.91
01-Aug-2018,05:00,01-Aug-2018,05:15,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",23.4,,34.17,23.8,,,,,239.44,0.34,0.0,0.0,,4.65,6.79,5.59,12.38,4.3,11.83
01-Aug-2018,05:15,01-Aug-2018,05:30,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",23.44,,32.17,26.54,,,,,186.21,0.21,0.0,0.0,,4.52,6.55,5.64,12.19,5.32,11.71
