﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Aug-2018,00:00,01-Aug-2018,00:15,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",24.6,972.3,36.0,12.0,97.3,6.8,,59.8,351.8,3.4,0.5,1.2,,19.8,11.0,2.7,8.1,42.5,2.6
01-Aug-2018,00:15,01-Aug-2018,00:30,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",24.6,972.5,36.0,12.0,98.9,6.8,,56.1,246.3,0.9,0.4,1.2,,19.8,9.3,3.1,7.5,34.9,4.0
01-Aug-2018,00:30,01-Aug-2018,00:45,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",24.7,972.5,34.0,8.0,99.2,6.8,,54.0,312.8,4.7,0.4,1.1,,19.9,8.3,2.4,6.4,29.1,3.9
01-Aug-2018,00:45,01-Aug-2018,01:00,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",25.0,972.3,34.0,8.0,98.4,7.0,,55.6,8.9,3.1,0.5,1.0,,19.3,10.3,1.9,7.1,25.3,3.7
01-Aug-2018,01:00,01-Aug-2018,01:15,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",24.9,972.1,34.0,8.0,98.6,6.8,,57.5,326.5,2.8,0.5,0.9,,18.4,13.7,2.3,9.1,20.2,4.4
01-Aug-2018,01:15,01-Aug-2018,01:30,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",24.9,972.0,34.0,8.0,99.2,6.7,,58.8,247.0,2.5,0.4,0.9,,17.9,17.5,3.2,11.9,14.9,4.1
01-Aug-2018,01:30,01-Aug-2018,01:45,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",25.0,972.0,36.0,8.0,99.2,6.7,,60.5,221.1,3.6,0.4,0.8,,17.5,16.8,3.5,11.8,12.5,2.6
01-Aug-2018,01:45,01-Aug-2018,02:00,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",25.2,971.9,36.0,8.0,99.2,6.9,,61.9,222.1,3.0,0.5,0.8,,17.6,16.8,4.0,12.3,14.2,3.1
01-Aug-2018,02:00,01-Aug-2018,02:15,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",25.3,971.8,36.0,8.0,99.2,7.0,,63.5,39.6,1.7,0.4,0.8,,17.8,16.0,4.3,12.0,12.2,3.4
01-Aug-2018,02:15,01-Aug-2018,02:30,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",25.3,972.0,36.0,8.0,99.2,6.9,,64.6,84.6,4.9,0.4,0.8,,17.8,12.9,5.2,11.1,9.2,4.3
01-Aug-2018,02:30,01-Aug-2018,02:45,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",25.2,972.0,36.0,13.0,99.2,6.9,,67.1,96.0,4.2,0.4,0.8,,17.4,12.1,6.2,11.5,6.2,4.9
01-Aug-2018,02:45,01-Aug-2018,03:00,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",25.3,972.1,36.0,13.0,99.2,7.0,,68.0,100.2,5.5,0.5,0.7,,16.8,16.7,6.9,14.5,5.4,4.1
01-Aug-2018,03:00,01-Aug-2018,03:15,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",25.4,971.8,36.0,13.0,99.2,6.9,,69.1,81.1,6.6,0.5,0.8,,17.0,12.1,8.5,13.3,5.7,3.8
01-Aug-2018,03:15,01-Aug-2018,03:30,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",25.3,971.7,36.0,13.0,99.2,6.9,,69.9,66.4,7.8,0.4,0.7,,17.6,11.4,8.0,12.6,5.4,
01-Aug-2018,03:30,01-Aug-2018,03:45,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",25.4,971.8,55.0,11.0,99.2,7.0,,70.7,63.4,7.5,,0.7,,17.7,10.3,9.1,12.9,6.9,5.1
01-Aug-2018,03:45,01-Aug-2018,04:00,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",25.4,971.9,55.0,11.0,99.2,7.0,,71.2,90.3,7.2,0.3,0.7,,18.5,9.6,9.9,13.2,7.3,6.3
01-Aug-2018,04:00,01-Aug-2018,04:15,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",25.4,971.8,55.0,11.0,99.2,6.9,,72.7,114.6,6.0,0.3,0.8,,19.2,10.8,11.1,14.8,5.8,6.4
