From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Aug-2018,00:00,01-Aug-2018,00:15,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2.1,260.6,,,28.7,70.9,2.3,974.5,,,124.0,45.0,61.1,109.7,107.1,0.5,,8.2,,4.2,,,,,,,,30.1,19.1,,,,,,,,,,
01-Aug-2018,00:15,01-Aug-2018,00:30,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2.9,297.2,,,28.9,64.6,2.1,974.7,,,124.0,45.0,48.9,94.4,90.7,1.1,,19.0,,3.0,,,,,,,,34.8,18.2,,,,,,,,,,
01-Aug-2018,00:30,01-Aug-2018,00:45,Delhi,Delhi,"Wazirpur, Delhi - DPCC",1.4,289.0,,,28.2,65.4,2.2,974.3,,,168.0,59.0,57.3,112.5,106.8,0.8,,20.4,,7.7,,,,,,,,30.5,19.1,,,,,,,,,,
01-Aug-2018,00:45,01-Aug-2018,01:00,Delhi,Delhi,"Wazirpur, Delhi - DPCC",1.3,291.3,,,27.9,70.6,2.2,974.0,,,168.0,59.0,45.9,93.0,85.3,0.5,,,,11.3,,,,,,,,29.8,19.7,,,,,,,,,,
01-Aug-2018,01:00,01-Aug-2018,01:15,Delhi,Delhi,"Wazirpur, Delhi - DPCC",1.5,311.1,,,27.9,71.6,2.1,973.8,,,168.0,59.0,20.5,59.9,48.9,0.6,,,,6.4,,,,,,,,37.2,13.7,,,,,,,,,,
01-Aug-2018,01:15,01-Aug-2018,01:30,Delhi,Delhi,"Wazirpur, Delhi - DPCC",1.3,313.0,,,28.5,67.2,2.1,973.8,,,168.0,59.0,16.9,77.7,55.6,0.6,,,,2.9,,,,,,,,29.1,15.7,,,,,,,,,,
01-Aug-2018,01:30,01-Aug-2018,01:45,Delhi,Delhi,"Wazirpur, Delhi - DPCC",0.9,292.3,,,29.0,65.5,2.2,973.7,,,77.0,36.0,53.6,90.5,91.7,,,9.0,,2.7,116.9,,,,,,,20.4,,,,,,,,,,,
01-Aug-2018,01:45,01-Aug-2018,02:00,Delhi,Delhi,"Wazirpur, Delhi - DPCC",1.3,272.9,,,29.5,65.5,2.1,973.6,,,77.0,36.0,,,,,,6.1,,1.6,90.6,,,,,,,,,,,,,,,,,,
01-Aug-2018,02:00,01-Aug-2018,02:15,Delhi,Delhi,"Wazirpur, Delhi - DPCC",1.5,270.1,,,30.0,65.1,2.3,973.6,,,77.0,36.0,,,,,,8.2,,1.7,130.5,,,,,,,,,,,,,,,,,,
01-Aug-2018,02:15,01-Aug-2018,02:30,Delhi,Delhi,"Wazirpur, Delhi - DPCC",2.2,265.5,,,30.2,66.4,2.2,973.7,,,77.0,36.0,,,,,,5.2,,1.6,425.1,,,,,,,,,,,,,,,,,,
01-Aug-2018,02:30,01-Aug-2018,02:45,Delhi,Delhi,"Wazirpur, Delhi - DPCC",1.7,281.3,,,29.8,64.8,2.1,973.7,,,103.0,46.0,46.2,76.8,78.1,0.7,,8.4,,1.5,,,,,,,,40.0,29.2,,,,,,,,,,
01-Aug-2018,02:45,01-Aug-2018,03:00,Delhi,Delhi,"Wazirpur, Delhi - DPCC",1.5,278.3,,,29.5,63.7,2.2,973.7,,,103.0,46.0,67.9,102.1,108.9,0.6,,5.8,,1.4,,,,,,,,29.5,31.8,,,,,,,,,,
01-Aug-2018,03:00,01-Aug-2018,03:15,Delhi,Delhi,"Wazirpur, Delhi - DPCC",1.4,276.2,,,29.3,65.4,2.2,973.6,,,103.0,46.0,102.5,117.7,146.2,0.6,,5.3,,1.5,428.7,,,,,,,25.7,31.4,,,,,,,,,,
01-Aug-2018,03:15,01-Aug-2018,03:30,Delhi,Delhi,"Wazirpur, Delhi - DPCC",1.8,309.2,,,29.3,66.2,2.1,973.7,,,103.0,46.0,40.2,71.3,70.1,0.6,,7.1,,1.4,243.6,,,,,,,35.8,31.2,,,,,,,,,,
01-Aug-2018,03:30,01-Aug-2018,03:45,Delhi,Delhi,"Wazirpur, Delhi - DPCC",1.3,302.8,,,29.1,65.7,2.1,973.6,,,84.0,39.0,21.9,53.6,46.7,0.6,,11.9,,1.5,192.1,,,,,,,31.7,31.0,,,,,,,,,,
01-Aug-2018,03:45,01-Aug-2018,04:00,Delhi,Delhi,"Wazirpur, Delhi - DPCC",0.9,298.3,,,28.9,65.3,2.3,973.6,,,84.0,39.0,38.9,74.6,71.1,0.6,,11.8,,1.7,88.3,,,,,,,23.1,32.3,,,,,,,,,,
01-Aug-2018,04:00,01-Aug-2018,04:15,Delhi,Delhi,"Wazirpur, Delhi - DPCC",1.3,314.9,,,28.9,68.1,2.2,973.7,,,84.0,39.0,32.4,67.6,62.9,0.7,,7.6,,2.1,61.4,,,,,,,31.5,30.8,,,,,,,,,,
01-Aug-2018,04:15,01-Aug-2018,04:30,Delhi,Delhi,"Wazirpur, Delhi - DPCC",0.7,278.3,,,28.8,70.1,2.2,973.6,,,84.0,39.0,42.0,85.0,80.3,0.8,,6.4,,2.5,60.5,,,,,,,31.2,29.9,,,,,,,,,,
01-Aug-2018,04:30,01-Aug-2018,04:45,Delhi,Delhi,"Wazirpur, Delhi - DPCC",0.8,275.3,,,28.9,70.6,2.2,973.6,,,101.0,51.0,74.9,85.4,106.4,0.8,,6.6,,3.2,58.5,,,,,,,35.9,30.5,,,,,,,,,,
01-Aug-2018,04:45,01-Aug-2018,05:00,Delhi,Delhi,"Wazirpur, Delhi - DPCC",1.6,279.0,,,28.8,70.8,2.2,973.6,,,101.0,51.0,80.9,89.9,113.4,0.7,,5.6,,3.1,268.8,,,,,,,37.9,31.4,,,,,,,,,,
01-Aug-2018,05:00,01-Aug-2018,05:15,Delhi,Delhi,"Wazirpur, Delhi - DPCC",1.2,285.4,,,28.7,73.1,2.3,973.6,,,101.0,51.0,85.7,87.6,117.4,0.7,,6.0,,3.4,390.6,,,,,,,38.4,30.6,,,,,,,,,,
01-Aug-2018,05:15,01-Aug-2018,05:30,Delhi,Delhi,"Wazirpur, Delhi - DPCC",1.6,272.1,,,28.6,75.8,3.3,973.7,,,101.0,51.0,76.4,78.4,103.6,0.7,,6.0,,4.3,167.1,,,,,,,44.5,29.1,,,,,,,,,,
01-Aug-2018,05:30,01-Aug-2018,05:45,Delhi,Delhi,"Wazirpur, Delhi - DPCC",1.5,272.2,,,28.5,78.1,5.7,973.9,,,110.0,51.0,78.7,78.0,105.2,0.8,,5.9,,3.7,100.3,,,,,,,44.8,28.2,,,,,,,,,,
01-Aug-2018,05:45,01-Aug-2018,06:00,Delhi,Delhi,"Wazirpur, Delhi - DPCC",0.7,271.2,,,28.7,78.7,12.3,974.1,,,110.0,51.0,114.1,79.8,135.0,0.9,,5.5,,4.1,102.6,,,,,,,41.8,29.2,,,,,,,,,,
01-Aug-2018,06:00,01-Aug-2018,06:15,Delhi,Delhi,"Wazirpur, Delhi - DPCC",1.0,275.4,,,28.9,78.7,24.5,974.4,,,110.0,51.0,98.0,69.9,117.1,0.9,,7.1,,3.1,238.7,,,,,,,46.3,28.8,,,,,,,,,,
01-Aug-2018,06:15,01-Aug-2018,06:30,Delhi,Delhi,"Wazirpur, Delhi - DPCC",1.9,269.4,,,29.2,77.7,34.3,974.6,,,110.0,51.0,106.8,78.2,128.7,0.8,,5.4,,3.1,320.2,,,,,,,46.9,26.9,,,,,,,,,,
