From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Aug-2018,00:00,01-Aug-2018,00:15,Karnataka,Hubballi,"Deshpande Nagar, Hubballi - KSPCB",,,,,,,,,,,30.0,,,,22.79,,,,,,,,,,,,,3.79,2.37,,,,,,,,,,
01-Aug-2018,00:15,01-Aug-2018,00:30,Karnataka,Hubballi,"Deshpande Nagar, Hubballi - KSPCB",1.25,215.59,,,,90.18,,,,,30.0,9.0,6.25,12.31,18.59,,,10.39,,,,,,,,,,4.15,2.47,22.08,,,,,,,,,
01-Aug-2018,00:30,01-Aug-2018,00:45,Karnataka,Hubballi,"Deshpande Nagar, Hubballi - KSPCB",1.29,217.39,,,,90.48,,,,,30.0,9.0,4.62,9.58,14.22,,,10.57,,,,,,,,,,4.39,2.57,22.05,,,,,,,,,
01-Aug-2018,00:45,01-Aug-2018,01:00,Karnataka,Hubballi,"Deshpande Nagar, Hubballi - KSPCB",1.24,231.73,,,,90.95,,,,,26.5,9.0,4.12,8.85,12.96,,,10.7,,,,,,,,,,4.22,2.44,22.01,,,,,,,,,
01-Aug-2018,01:00,01-Aug-2018,01:15,Karnataka,Hubballi,"Deshpande Nagar, Hubballi - KSPCB",1.17,213.22,,,,90.96,,,,,29.0,7.36,4.17,9.1,13.26,,,12.3,,,,,,,,,,3.57,1.88,22.01,,,,,,,,,
01-Aug-2018,01:15,01-Aug-2018,01:30,Karnataka,Hubballi,"Deshpande Nagar, Hubballi - KSPCB",1.03,220.59,,,,90.82,,,,,29.0,7.0,2.93,7.82,10.76,,,12.29,,,,,,,,,,3.37,1.54,22.01,,,,,,,,,
01-Aug-2018,01:30,01-Aug-2018,01:45,Karnataka,Hubballi,"Deshpande Nagar, Hubballi - KSPCB",1.04,232.3,,,,90.0,,,,,29.0,7.0,2.84,7.48,10.28,,,12.11,,,,,,,,,,3.14,1.81,22.04,,,,,,,,,
01-Aug-2018,01:45,01-Aug-2018,02:00,Karnataka,Hubballi,"Deshpande Nagar, Hubballi - KSPCB",0.68,219.32,,,,90.0,,,,,34.6,7.0,2.8,7.58,10.38,,,11.11,,,,,,,,,,3.13,1.8,22.1,,,,,,,,,
01-Aug-2018,02:00,01-Aug-2018,02:15,Karnataka,Hubballi,"Deshpande Nagar, Hubballi - KSPCB",1.03,213.96,,,,90.0,,,,,46.0,9.45,2.57,8.07,10.66,,,12.22,,,,,,,,,,3.23,2.09,22.09,,,,,,,,,
01-Aug-2018,02:15,01-Aug-2018,02:30,Karnataka,Hubballi,"Deshpande Nagar, Hubballi - KSPCB",0.84,225.5,,,,90.0,,,,,46.0,10.0,2.25,7.36,9.65,,,12.82,,,,,,,,,,3.2,2.14,22.1,,,,,,,,,
