From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Aug-2018,00:00,01-Aug-2018,00:15,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",1.09,105.79,,,,95.96,57.2,,,,20.43,12.26,14.9,24.7,39.6,0.04,,10.5,,3.22,,3.38,,,,,,18.8,10.2,,,0.0,,,,,,,
01-Aug-2018,00:15,01-Aug-2018,00:30,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",1.01,103.79,,,,95.94,57.0,,,,15.94,9.52,14.5,24.9,39.4,0.05,,13.4,,3.19,,3.37,,,,,,18.46,5.5,,,0.0,,,,,,,
01-Aug-2018,00:30,01-Aug-2018,00:45,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.62,119.16,,,,95.94,57.0,,,,13.58,8.15,14.5,24.8,39.3,0.11,,15.3,,3.16,,3.37,,,,,,18.28,6.9,,,0.0,,,,,,,
01-Aug-2018,00:45,01-Aug-2018,01:00,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,
01-Aug-2018,01:00,01-Aug-2018,01:15,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.51,131.09,,,,95.91,57.0,,,,13.58,8.15,14.7,24.2,38.9,0.16,,17.11,,3.14,,3.36,,,,,,17.6,3.9,,,0.0,,,,,,,
01-Aug-2018,01:15,01-Aug-2018,01:30,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,
01-Aug-2018,01:30,01-Aug-2018,01:45,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,
01-Aug-2018,01:45,01-Aug-2018,02:00,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.46,129.67,,,,95.91,61.8,,,,21.75,13.05,13.8,25.1,38.9,0.17,,17.87,,3.14,,3.33,,,,,,17.35,6.2,,,0.0,,,,,,,
01-Aug-2018,02:00,01-Aug-2018,02:15,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.37,129.21,,,,95.91,57.6,,,,21.75,13.05,14.3,25.3,39.6,0.14,,18.78,,3.13,,3.32,,,,,,17.28,12.6,,,0.0,,,,,,,
01-Aug-2018,02:15,01-Aug-2018,02:30,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,
01-Aug-2018,02:30,01-Aug-2018,02:45,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.41,124.36,,,,95.91,57.27,,,,21.75,13.05,14.1,24.9,39.0,0.14,,17.95,,3.14,,3.34,,,,,,17.52,4.4,,,0.0,,,,,,,
01-Aug-2018,02:45,01-Aug-2018,03:00,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,
01-Aug-2018,03:00,01-Aug-2018,03:15,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,
01-Aug-2018,03:15,01-Aug-2018,03:30,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.96,101.71,,,,95.89,49.27,,,,7.49,4.91,14.6,26.7,41.3,0.23,,19.41,,3.13,,3.31,,,,,,16.74,48.3,,,0.0,,,,,,,
01-Aug-2018,03:30,01-Aug-2018,03:45,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.89,69.39,,,,95.91,63.0,,,,10.9,6.54,15.9,27.7,43.5,0.18,,18.65,,3.13,,3.31,,,,,,16.05,21.6,,,0.0,,,,,,,
01-Aug-2018,03:45,01-Aug-2018,04:00,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.31,121.91,,,,95.94,57.0,,,,5.47,3.28,14.8,26.2,41.1,0.26,,15.88,,3.13,,3.24,,,,,,16.91,63.5,,,0.0,,,,,,,
01-Aug-2018,04:00,01-Aug-2018,04:15,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.46,65.88,,,,95.95,57.27,,,,5.47,3.28,15.3,25.9,41.2,0.21,,12.81,,3.14,,3.2,,,,,,17.1,7.0,,,0.0,,,,,,,
01-Aug-2018,04:15,01-Aug-2018,04:30,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.29,89.27,,,,95.97,57.27,,,,3.72,1.95,15.3,26.1,41.3,0.28,,9.81,,3.14,,3.2,,,,,,17.12,38.7,,,0.0,,,,,,,
01-Aug-2018,04:30,01-Aug-2018,04:45,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.6,104.65,,,,95.91,57.0,,,,5.47,3.28,14.7,26.2,40.9,0.25,,18.41,,3.13,,3.31,,,,,,16.86,54.8,,,0.0,,,,,,,
01-Aug-2018,04:45,01-Aug-2018,05:00,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.43,86.88,,,,95.97,57.13,,,,2.76,1.66,15.5,26.8,42.3,0.63,,4.55,,3.15,,3.22,,,,,,17.28,66.6,,,0.0,,,,,,,
01-Aug-2018,05:00,01-Aug-2018,05:15,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.22,69.84,,,,95.98,56.87,,,,2.76,1.66,16.2,27.0,43.2,0.79,,2.4,,3.15,,3.32,,,,,,17.35,75.7,,,0.0,,,,,,,
01-Aug-2018,05:15,01-Aug-2018,05:30,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.17,138.23,,,,96.0,56.73,,,,3.07,1.82,16.7,27.7,44.4,0.91,,1.47,,3.15,,3.37,,,,,,17.38,80.0,,,0.0,,,,,,,
01-Aug-2018,05:30,01-Aug-2018,05:45,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.35,112.19,,,,95.97,57.27,,,,2.76,1.66,15.5,26.3,41.8,0.44,,6.89,,3.14,,3.21,,,,,,17.37,58.3,,,0.0,,,,,,,
01-Aug-2018,05:45,01-Aug-2018,06:00,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.18,298.78,,,,95.96,64.07,,,,3.23,1.94,15.8,27.3,43.2,1.01,,1.1,,3.19,,3.39,,,,,,17.95,16.1,,,0.0,,,,,,,
01-Aug-2018,06:00,01-Aug-2018,06:15,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.05,198.59,,,,95.93,62.73,,,,3.23,1.94,16.4,28.2,44.6,0.01,,1.49,,3.18,,3.38,,,,,,17.31,,,,0.5,,,,,,,
01-Aug-2018,06:15,01-Aug-2018,06:30,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.44,139.08,,,,95.95,69.6,,,,2.26,1.28,15.4,26.8,42.2,0.0,,6.56,,3.22,,3.37,,,,,,18.0,,,,0.5,,,,,,,
01-Aug-2018,06:30,01-Aug-2018,06:45,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.13,153.85,,,,95.98,61.8,,,,3.23,1.94,17.4,28.4,45.8,1.06,,0.7,,3.17,,3.38,,,,,,17.47,76.4,,,0.0,,,,,,,
01-Aug-2018,06:45,01-Aug-2018,07:00,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.07,190.42,,,,95.97,113.33,,,,2.03,2.06,14.6,26.9,41.5,0.0,,13.31,,3.18,,3.35,,,,,,17.78,,,,0.0,,,,,,,
01-Aug-2018,07:00,01-Aug-2018,07:15,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.33,314.28,,,,95.95,114.33,,,,16.38,9.83,14.0,25.6,39.6,0.0,,14.9,,3.16,,3.34,,,,,,17.93,,,,0.0,,,,,,,
01-Aug-2018,07:15,01-Aug-2018,07:30,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",1.21,302.76,,,,90.55,109.67,,,,11.85,6.4,14.9,26.2,41.1,0.0,,14.14,,3.15,,3.33,,,,,,17.35,,,,0.0,,,,,,,
01-Aug-2018,07:30,01-Aug-2018,07:45,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh - PPCB",0.51,135.98,,,,95.97,95.93,,,,1.64,0.98,15.1,27.2,42.3,0.0,,10.96,,3.22,,3.37,,,,,,17.79,,,,0.0,,,,,,,
