﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Aug-2018,00:00,01-Aug-2018,00:15,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",26.2,,145.0,42.0,83.0,10.0,30.2,0.5,227.0,0.8,0.68,0.1,,7.5,9.4,1.0,5.8,38.1,6.7
01-Aug-2018,00:15,01-Aug-2018,00:30,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",26.2,,145.0,42.0,83.0,10.0,30.2,0.6,236.0,0.7,0.7,0.1,,7.9,8.7,1.1,5.5,39.0,5.9
01-Aug-2018,00:30,01-Aug-2018,00:45,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",26.2,,145.0,42.0,83.0,10.0,30.2,0.5,233.0,0.8,0.7,0.1,,7.9,7.9,1.0,5.1,40.7,6.3
01-Aug-2018,00:45,01-Aug-2018,01:00,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",26.3,,152.0,39.0,81.0,10.0,30.2,0.5,239.0,0.9,0.69,0.1,,8.1,7.3,0.8,4.5,42.7,7.2
01-Aug-2018,01:00,01-Aug-2018,01:15,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",26.3,,152.0,39.0,81.0,10.0,30.3,0.5,246.0,1.1,0.77,0.1,,8.2,7.4,0.8,4.5,43.0,6.9
01-Aug-2018,01:15,01-Aug-2018,01:30,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",26.3,,152.0,39.0,81.0,10.0,30.2,0.6,252.0,1.2,0.74,0.1,,8.3,7.1,0.5,4.2,44.1,6.5
01-Aug-2018,01:30,01-Aug-2018,01:45,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",26.2,,152.0,39.0,81.0,10.0,30.2,0.7,249.0,1.2,0.76,0.1,,8.4,6.4,0.4,3.8,43.6,6.2
01-Aug-2018,01:45,01-Aug-2018,02:00,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",26.2,,184.0,44.0,81.0,10.0,30.2,0.6,260.0,1.3,0.76,0.1,,8.4,6.3,0.5,3.8,43.4,7.0
01-Aug-2018,02:00,01-Aug-2018,02:15,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",26.1,,184.0,44.0,82.0,10.0,30.2,0.6,262.0,1.2,0.73,0.1,,8.3,5.8,0.6,3.5,45.3,6.7
01-Aug-2018,02:15,01-Aug-2018,02:30,Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",26.1,,184.0,44.0,82.0,10.0,30.3,0.6,261.0,1.1,0.74,0.1,,8.5,5.1,0.4,3.1,46.2,6.2
