From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Aug-2018,00:00,01-Aug-2018,00:15,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,186.0,,,22.9,95.0,3.0,747.0,,,,29.0,13.53,50.53,21.3,0.47,,55.29,,2.79,46.48,,10.9,,,-0.1,,,15.16,31.9,,,,,,,,,
01-Aug-2018,00:15,01-Aug-2018,00:30,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,134.0,,,22.9,95.0,3.0,747.0,,,,29.0,12.06,57.51,22.2,0.56,,51.65,,2.44,46.48,,10.9,,,-0.1,,,16.87,31.7,,,,,,,,,
01-Aug-2018,00:30,01-Aug-2018,00:45,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,67.0,,,22.9,96.0,3.0,747.0,,,,29.0,4.02,31.43,10.6,0.34,,63.86,,2.44,46.89,,10.43,,,-0.1,,,16.59,31.7,,,,,,,,,
01-Aug-2018,00:45,01-Aug-2018,01:00,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,162.0,,,22.8,96.0,3.0,747.0,,,,43.0,5.23,28.35,10.5,0.34,,61.72,,2.44,46.48,,9.95,,,-0.1,,,15.16,31.7,,,,,,,,,
01-Aug-2018,01:00,01-Aug-2018,01:15,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,122.0,,,22.9,96.0,3.0,747.0,,,,43.0,3.35,23.21,8.0,0.28,,67.93,,2.44,46.07,,9.48,,,-0.1,,,16.87,31.6,,,,,,,,,
01-Aug-2018,01:15,01-Aug-2018,01:30,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,131.0,,,22.9,96.0,3.0,747.0,,,,43.0,3.62,24.24,8.4,0.3,,69.22,,2.44,45.24,,10.43,,,-0.1,,,20.02,31.6,,,,,,,,,
01-Aug-2018,01:30,01-Aug-2018,01:45,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,166.0,,,22.7,96.0,3.0,747.0,,,,43.0,3.08,20.54,7.2,0.26,,73.93,,2.09,45.24,,9.95,,,-0.1,,,17.45,31.6,,,,,,,,,
01-Aug-2018,01:45,01-Aug-2018,02:00,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,195.0,,,22.7,96.0,3.0,747.0,,,,37.0,2.95,39.44,12.0,0.41,,63.0,,2.09,45.65,,9.48,,,-0.1,,,10.87,31.6,,,,,,,,,
01-Aug-2018,02:00,01-Aug-2018,02:15,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,124.0,,,22.8,96.0,3.0,747.0,,,,37.0,5.23,48.68,15.8,0.44,,57.0,,2.09,44.42,,9.01,,,-0.1,,,7.44,31.6,,,,,,,,,
01-Aug-2018,02:15,01-Aug-2018,02:30,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,98.0,,,22.9,96.0,3.0,747.0,,,,37.0,4.15,38.41,12.4,0.39,,59.15,,2.09,44.01,,7.58,,,-0.1,,,5.72,31.7,,,,,,,,,
01-Aug-2018,02:30,01-Aug-2018,02:45,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,117.0,,,22.7,96.0,3.0,747.0,,,,37.0,2.55,19.92,6.7,0.36,,68.36,,2.09,44.83,,7.58,,,-0.1,,,4.58,31.6,,,,,,,,,
01-Aug-2018,02:45,01-Aug-2018,03:00,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,146.0,,,22.7,96.0,3.0,746.0,,,,32.0,2.55,19.51,6.5,0.34,,72.22,,2.09,44.83,,7.58,,,-0.1,,,6.01,31.6,,,,,,,,,
01-Aug-2018,03:00,01-Aug-2018,03:15,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,171.0,,,22.7,97.0,3.0,746.0,,,,32.0,2.81,13.35,5.1,0.32,,74.15,,1.74,43.19,,7.58,,,-0.1,,,6.58,31.6,,,,,,,,,
01-Aug-2018,03:15,01-Aug-2018,03:30,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,139.0,,,22.8,97.0,3.0,746.0,,,,32.0,2.68,27.52,8.8,0.36,,70.5,,1.74,41.95,,7.58,,,-0.1,,,4.29,31.6,,,,,,,,,
01-Aug-2018,03:30,01-Aug-2018,03:45,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,151.0,,,22.9,97.0,3.0,746.0,,,,32.0,3.48,42.11,13.0,0.44,,58.5,,1.74,44.01,,7.11,,,-0.1,,,5.43,31.9,,,,,,,,,
01-Aug-2018,03:45,01-Aug-2018,04:00,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,136.0,,,22.9,97.0,3.0,746.0,,,,28.0,2.81,27.52,8.8,0.38,,61.93,,1.74,43.6,,6.64,,,-0.1,,,10.01,32.9,,,,,,,,,
01-Aug-2018,04:00,01-Aug-2018,04:15,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,175.0,,,23.0,97.0,3.0,746.0,,,,28.0,3.89,26.91,9.3,0.32,,61.29,,1.74,42.36,,6.16,,,-0.1,,,7.72,33.4,,,,,,,,,
01-Aug-2018,04:15,01-Aug-2018,04:30,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,181.0,,,23.0,97.0,3.0,746.0,,,,28.0,2.81,21.57,7.3,0.3,,55.72,,1.74,41.13,,6.16,,,-0.1,,,8.29,33.5,,,,,,,,,
01-Aug-2018,04:30,01-Aug-2018,04:45,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,201.0,,,22.9,97.0,3.0,747.0,,,,28.0,2.68,24.85,8.1,0.38,,55.08,,1.74,41.13,,6.64,,,-0.1,,,7.44,33.5,,,,,,,,,
01-Aug-2018,04:45,01-Aug-2018,05:00,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,172.0,,,22.8,97.0,3.0,747.0,,,,31.0,3.22,28.76,9.4,0.44,,55.08,,1.74,42.36,,6.64,,,-0.1,,,10.3,33.4,,,,,,,,,
01-Aug-2018,05:00,01-Aug-2018,05:15,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,177.0,,,22.9,97.0,3.0,747.0,,,,31.0,3.08,28.14,9.2,0.32,,48.0,,1.74,43.19,,5.69,,,-0.1,,,9.72,33.4,,,,,,,,,
01-Aug-2018,05:15,01-Aug-2018,05:30,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,169.0,,,23.0,97.0,3.0,747.0,,,,31.0,7.37,44.37,16.0,0.39,,51.65,,1.74,43.6,,5.21,,,-0.1,,,10.87,33.3,,,,,,,,,
01-Aug-2018,05:30,01-Aug-2018,05:45,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,165.0,,,23.0,97.0,3.0,747.0,,,,31.0,6.7,49.71,16.9,0.47,,46.72,,1.74,42.78,,6.16,,,-0.1,,,12.3,33.2,,,,,,,,,
01-Aug-2018,05:45,01-Aug-2018,06:00,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,179.0,,,23.1,97.0,3.0,747.0,,,,35.0,6.43,45.8,15.8,0.46,,44.57,,1.74,43.6,,6.16,,,-0.1,,,12.58,33.1,,,,,,,,,
01-Aug-2018,06:00,01-Aug-2018,06:15,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,166.0,,,23.2,97.0,4.0,747.0,,,,35.0,8.17,50.32,18.0,0.5,,46.5,,1.74,44.42,,6.16,,,-0.1,,,14.01,33.2,,,,,,,,,
01-Aug-2018,06:15,01-Aug-2018,06:30,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,152.0,,,23.3,97.0,5.0,747.0,,,,35.0,14.47,64.29,25.4,0.77,,43.72,,1.74,44.01,,5.21,,,-0.1,,,16.59,33.1,,,,,,,,,
01-Aug-2018,06:30,01-Aug-2018,06:45,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",0.3,158.0,,,23.4,97.0,3.0,747.0,,,,35.0,8.31,43.96,16.5,0.62,,,,1.74,44.01,,6.16,,,-0.1,,,16.3,33.0,,,,,,,,,
