﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Sep-2018,00:00,01-Sep-2018,00:15,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",1.72,201.31,,,28.28,48.6,776.4,1004.9,,,,56.72,34.74,102.52,75.93,0.29,,,,6.77,26.52,,0.65,,,0.44,,,111.86,,,,,,,,,,
01-Sep-2018,00:15,01-Sep-2018,00:30,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",1.68,201.31,,,28.26,48.54,688.35,1005.0,,,,46.66,31.1,97.95,71.0,0.16,,,,3.94,31.67,,0.65,,,0.44,,,113.32,,,,,,,,,,
01-Sep-2018,00:30,01-Sep-2018,00:45,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",2.22,201.31,,,28.2,48.41,677.4,1004.75,,,,46.66,24.02,89.85,61.75,0.29,,,,3.94,23.85,,0.65,,,0.44,,,103.5,,,,,,,,,,
01-Sep-2018,00:45,01-Sep-2018,01:00,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",0.43,201.24,,,28.2,48.41,660.45,1004.6,,,,46.66,36.3,85.26,68.67,0.34,,,,8.42,28.24,,0.65,,,0.44,,,100.69,,,,,,,,,,
01-Sep-2018,01:00,01-Sep-2018,01:15,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",1.85,201.31,,,28.15,48.28,820.8,1004.65,,,,46.66,48.06,86.93,78.27,0.34,,,,6.18,22.13,,0.65,,,0.44,,,114.52,,,,,,,,,,
01-Sep-2018,01:15,01-Sep-2018,01:30,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",1.43,201.31,,,28.09,48.15,933.45,1004.7,,,,37.54,37.4,90.0,71.81,0.28,,,,9.7,16.02,,0.65,,,0.44,,,120.99,,,,,,,,,,
01-Sep-2018,01:30,01-Sep-2018,01:45,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",1.55,201.28,,,28.12,48.22,889.65,1004.55,,,,37.54,34.14,83.59,66.25,0.37,,,,6.82,16.02,,0.65,,,0.44,,,119.9,,,,,,,,,,
01-Sep-2018,01:45,01-Sep-2018,02:00,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",1.47,201.24,,,28.09,48.15,837.75,1004.4,,,,37.54,25.74,77.1,56.82,0.39,,,,3.94,25.49,,0.65,,,0.44,,,116.07,,,,,,,,,,
01-Sep-2018,02:00,01-Sep-2018,02:15,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",1.61,201.31,,,28.07,48.09,809.4,1004.15,,,,37.54,21.5,70.63,50.5,0.39,,,,3.94,20.75,,0.65,,,0.44,,,58.78,,,,,,,,,,
01-Sep-2018,02:15,01-Sep-2018,02:30,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",1.43,201.31,,,28.04,48.02,732.75,1004.1,,,,20.56,22.28,66.07,48.86,0.35,,,,3.94,16.02,,0.65,,,0.44,,,112.48,,,,,,,,,,
01-Sep-2018,02:30,01-Sep-2018,02:45,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",1.31,201.28,,,28.07,48.09,763.35,1004.05,,,,20.56,20.33,63.71,46.25,0.41,,,,3.94,16.02,,0.65,,,0.44,,,102.77,,,,,,,,,,
