﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Sep-2018,00:00,01-Sep-2018,00:15,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.9,714.0,27.0,10.0,88.0,,24.2,4.0,207.0,,0.34,0.2,,29.0,42.3,3.1,25.0,12.35,5.5
01-Sep-2018,00:15,01-Sep-2018,00:30,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.9,714.0,27.0,10.0,88.0,,24.1,3.8,194.0,,0.46,0.2,,28.5,38.9,3.7,23.7,11.37,
01-Sep-2018,00:30,01-Sep-2018,00:45,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.9,713.0,27.0,10.0,89.0,,24.2,3.7,191.0,,0.46,0.2,,29.1,35.9,5.9,23.9,11.17,7.3
01-Sep-2018,00:45,01-Sep-2018,01:00,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.9,713.0,31.0,13.0,89.0,,24.2,3.6,185.0,,0.34,0.2,,30.4,35.7,3.3,21.6,11.17,17.0
01-Sep-2018,01:00,01-Sep-2018,01:15,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.8,713.0,31.0,13.0,89.0,,24.2,3.5,197.0,,0.34,0.2,,30.0,32.7,2.3,19.3,11.56,15.7
01-Sep-2018,01:15,01-Sep-2018,01:30,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.8,713.0,31.0,13.0,89.0,,24.1,3.4,196.0,,0.34,0.2,,29.0,24.8,4.4,16.8,12.35,12.1
01-Sep-2018,01:30,01-Sep-2018,01:45,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.8,713.0,31.0,13.0,88.0,,24.0,3.3,210.0,,0.46,0.2,,28.0,21.6,5.9,16.3,12.74,5.5
01-Sep-2018,01:45,01-Sep-2018,02:00,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.8,713.0,32.0,14.0,88.0,,24.0,3.2,204.0,,0.34,0.1,,29.3,17.3,5.7,13.9,14.9,10.0
01-Sep-2018,02:00,01-Sep-2018,02:15,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.7,713.0,32.0,14.0,87.0,,24.2,3.1,204.0,,0.23,0.1,,29.5,11.7,3.8,9.2,17.05,14.7
01-Sep-2018,02:15,01-Sep-2018,02:30,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.8,713.0,32.0,14.0,87.0,,24.7,3.0,199.0,,,0.1,,31.3,6.8,3.4,6.4,16.86,17.8
01-Sep-2018,02:30,01-Sep-2018,02:45,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.7,712.0,32.0,14.0,87.0,,26.4,2.9,197.0,,0.23,0.1,,36.0,2.6,5.3,5.6,16.66,23.3
01-Sep-2018,02:45,01-Sep-2018,03:00,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.7,712.0,25.0,9.0,88.0,,27.5,2.9,197.0,,,0.1,,36.7,3.6,3.4,4.7,,26.7
01-Sep-2018,03:00,01-Sep-2018,03:15,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.7,712.0,25.0,9.0,88.0,,28.7,2.8,199.0,,,0.1,,41.1,,7.4,5.8,,23.8
01-Sep-2018,03:15,01-Sep-2018,03:30,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.8,712.0,25.0,9.0,89.0,,30.0,2.8,207.0,,,0.1,,48.4,1.7,0.1,1.0,,21.5
01-Sep-2018,03:30,01-Sep-2018,03:45,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.8,712.0,25.0,9.0,88.0,,30.7,2.8,217.0,,0.69,0.1,,42.6,8.1,4.6,8.0,16.86,17.8
01-Sep-2018,03:45,01-Sep-2018,04:00,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.7,712.0,26.0,13.0,88.0,,30.3,2.8,204.0,,,0.1,,36.5,5.1,5.0,6.8,15.88,21.5
01-Sep-2018,04:00,01-Sep-2018,04:15,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.6,712.0,26.0,13.0,88.0,,30.5,2.7,211.0,,,0.1,,46.4,6.0,1.4,4.2,16.66,22.8
01-Sep-2018,04:15,01-Sep-2018,04:30,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.6,713.0,26.0,13.0,87.0,,30.9,2.7,208.0,,,0.1,,44.0,3.2,3.3,4.4,17.25,20.7
01-Sep-2018,04:30,01-Sep-2018,04:45,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.6,713.0,26.0,13.0,87.0,,30.6,2.8,205.0,,0.8,0.1,,38.8,1.7,5.4,5.2,16.66,19.9
01-Sep-2018,04:45,01-Sep-2018,05:00,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.4,713.0,27.0,14.0,87.0,,29.9,2.7,204.0,,0.69,0.1,,,,,,19.01,21.2
01-Sep-2018,05:00,01-Sep-2018,05:15,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.4,713.0,27.0,14.0,87.0,,30.3,2.7,217.0,,0.34,0.1,,,,,,17.84,22.5
01-Sep-2018,05:15,01-Sep-2018,05:30,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.4,713.0,27.0,14.0,87.0,,30.8,2.6,203.0,,0.46,0.1,,,,,,17.05,20.4
01-Sep-2018,05:30,01-Sep-2018,05:45,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.3,713.0,27.0,14.0,88.0,,30.8,2.6,201.0,,0.92,0.1,,44.0,8.3,5.7,9.0,16.27,20.7
01-Sep-2018,05:45,01-Sep-2018,06:00,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.2,713.0,31.0,10.0,88.0,,30.2,2.5,205.0,,0.8,0.1,,39.0,13.7,7.7,13.6,13.92,
01-Sep-2018,06:00,01-Sep-2018,06:15,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.2,713.0,31.0,10.0,88.0,,30.5,2.5,201.0,,0.34,0.1,,47.5,19.0,7.0,15.8,12.15,
01-Sep-2018,06:15,01-Sep-2018,06:30,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.2,713.0,31.0,10.0,89.0,,30.9,2.6,193.0,,0.46,0.1,,49.0,28.0,8.9,22.1,10.98,6.0
01-Sep-2018,06:30,01-Sep-2018,06:45,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.1,713.0,31.0,10.0,89.0,,29.3,2.7,199.0,,1.15,0.1,,44.0,23.1,9.1,19.8,11.17,5.0
01-Sep-2018,06:45,01-Sep-2018,07:00,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.0,713.0,42.0,18.0,89.0,,27.0,2.8,212.0,,1.03,0.1,,33.9,31.0,12.3,26.5,12.94,7.9
01-Sep-2018,07:00,01-Sep-2018,07:15,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.0,714.0,42.0,18.0,88.0,,25.8,2.9,200.0,,1.03,0.1,,30.7,31.4,16.0,29.7,13.13,6.0
01-Sep-2018,07:15,01-Sep-2018,07:30,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.0,714.0,42.0,18.0,88.0,,25.1,2.9,211.0,,1.03,0.1,,27.9,32.1,19.4,32.9,13.33,
01-Sep-2018,07:30,01-Sep-2018,07:45,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.1,714.0,42.0,18.0,87.0,,24.7,2.9,208.0,,1.03,0.1,,29.4,39.5,22.1,39.0,13.52,5.5
01-Sep-2018,07:45,01-Sep-2018,08:00,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.4,714.0,48.0,19.0,85.0,,24.6,2.8,222.0,,1.15,0.1,,26.9,41.7,24.0,41.7,14.7,5.2
01-Sep-2018,08:00,01-Sep-2018,08:15,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.3,714.0,48.0,19.0,85.0,,24.4,2.8,219.0,,0.92,0.1,,28.3,32.1,21.2,34.3,16.66,1.3
01-Sep-2018,08:15,01-Sep-2018,08:30,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.4,714.0,48.0,19.0,84.0,,24.2,2.8,203.0,,1.03,0.1,,27.9,25.0,20.7,30.0,18.82,
01-Sep-2018,08:30,01-Sep-2018,08:45,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",21.7,714.0,48.0,19.0,83.0,,24.0,2.8,212.0,,1.03,0.1,,27.0,24.3,21.8,30.7,19.4,
