From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Sep-2018,00:00,01-Sep-2018,00:15,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",,,,,,,,,,,159.71,52.79,41.6,34.15,75.85,0.36,,34.21,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Sep-2018,00:15,01-Sep-2018,00:30,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",,,,,,,,,,,146.55,49.1,51.28,38.24,88.96,0.39,,25.63,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Sep-2018,00:30,01-Sep-2018,00:45,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",,,,,,,,,,,136.19,48.24,45.55,37.63,72.64,0.41,,28.83,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Sep-2018,00:45,01-Sep-2018,01:00,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",,,,,,,,,,,161.76,45.89,39.56,42.15,60.47,0.36,,29.92,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Sep-2018,01:00,01-Sep-2018,01:15,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",,,,,,,,,,,159.71,47.31,40.52,43.39,83.91,0.36,,29.23,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Sep-2018,01:15,01-Sep-2018,01:30,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",,,,,,,,,,,154.69,45.0,40.15,42.73,82.43,0.37,,28.62,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Sep-2018,01:30,01-Sep-2018,01:45,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",,,,,,,,,,,148.27,37.38,42.36,43.84,86.22,0.39,,29.7,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Sep-2018,01:45,01-Sep-2018,02:00,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",,,,,,,,,,,162.01,36.14,43.73,43.56,85.55,0.36,,29.72,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Sep-2018,02:00,01-Sep-2018,02:15,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",,,,,,,,,,,176.18,35.82,44.51,44.41,89.34,0.34,,28.71,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
01-Sep-2018,02:15,01-Sep-2018,02:30,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",,,,,,,,,,,115.98,40.04,44.55,35.78,69.59,0.49,,29.01,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,
