From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Sep-2018,00:00,01-Sep-2018,00:15,Delhi,Delhi,"Najafgarh, Delhi - DPCC",1.4,233.7,,,28.4,87.3,3.4,979.5,,,61.0,16.0,2.1,16.2,10.4,1.3,,7.4,,0.9,5.1,,,,,,,22.1,,,,,,,,,,,
01-Sep-2018,00:15,01-Sep-2018,00:30,Delhi,Delhi,"Najafgarh, Delhi - DPCC",2.0,238.6,,,28.9,83.3,3.4,979.4,,,61.0,16.0,2.0,16.3,10.3,1.3,,2.4,,0.9,4.9,,,,,,,26.4,,,,,,,,,,,
01-Sep-2018,00:30,01-Sep-2018,00:45,Delhi,Delhi,"Najafgarh, Delhi - DPCC",1.8,241.4,,,28.7,83.4,3.5,979.3,,,63.0,17.0,2.1,16.8,10.7,1.2,,28.0,,1.2,4.7,,,,,,,24.6,,,,,,,,,,,
01-Sep-2018,00:45,01-Sep-2018,01:00,Delhi,Delhi,"Najafgarh, Delhi - DPCC",0.9,223.7,,,28.2,84.7,3.4,979.3,,,63.0,17.0,1.9,17.3,10.7,1.2,,,,1.3,5.9,,,,,,,18.6,1.1,,,,,,,,,,
01-Sep-2018,01:00,01-Sep-2018,01:15,Delhi,Delhi,"Najafgarh, Delhi - DPCC",0.4,279.0,,,28.2,84.3,3.4,979.1,,,63.0,17.0,1.8,17.7,10.9,1.1,,,,0.9,7.8,,,,,,,20.0,2.1,,,,,,,,,,
01-Sep-2018,01:15,01-Sep-2018,01:30,Delhi,Delhi,"Najafgarh, Delhi - DPCC",0.3,139.4,,,28.0,84.5,3.5,979.2,,,63.0,17.0,1.7,17.7,10.8,1.2,,22.4,,1.1,8.3,,,,,,,20.6,1.9,,,,,,,,,,
01-Sep-2018,01:30,01-Sep-2018,01:45,Delhi,Delhi,"Najafgarh, Delhi - DPCC",1.1,130.1,,,27.6,88.9,3.6,979.2,,,73.0,22.0,1.9,17.5,10.9,,,3.8,,1.0,8.2,,,,,,,18.6,,,,,,,,,,,
01-Sep-2018,01:45,01-Sep-2018,02:00,Delhi,Delhi,"Najafgarh, Delhi - DPCC",1.0,205.7,,,27.9,88.8,3.5,979.0,,,73.0,22.0,,,,,,2.0,,1.1,7.9,,,,,,,,,,,,,,,,,,
01-Sep-2018,02:00,01-Sep-2018,02:15,Delhi,Delhi,"Najafgarh, Delhi - DPCC",1.8,244.6,,,28.1,88.2,3.3,978.9,,,73.0,22.0,,,,,,1.9,,0.9,8.0,,,,,,,,,,,,,,,,,,
01-Sep-2018,02:15,01-Sep-2018,02:30,Delhi,Delhi,"Najafgarh, Delhi - DPCC",1.2,276.1,,,27.9,88.0,3.4,978.8,,,73.0,22.0,,,,,,3.2,,1.1,8.8,,,,,,,,,,,,,,,,,,
