﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Sep-2018,00:00,01-Sep-2018,00:15,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.7,977.9,169.0,63.0,94.0,18.0,,28.5,94.2,0.8,1.9,1.1,,20.9,32.3,7.0,20.8,0.7,10.0
01-Sep-2018,00:15,01-Sep-2018,00:30,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.6,977.8,169.0,63.0,93.5,18.3,,27.6,76.0,1.0,1.9,1.2,,21.3,33.1,7.1,21.4,0.2,10.2
01-Sep-2018,00:30,01-Sep-2018,00:45,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.6,977.7,169.0,63.0,93.5,18.2,,25.3,87.9,0.7,2.0,1.1,,21.9,34.1,7.9,22.6,1.1,9.6
01-Sep-2018,00:45,01-Sep-2018,01:00,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.6,977.7,151.0,57.0,93.4,18.1,,24.5,85.2,0.9,2.0,1.0,,22.3,35.5,10.4,25.3,0.6,9.5
01-Sep-2018,01:00,01-Sep-2018,01:15,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.6,977.7,151.0,57.0,93.0,18.0,,24.6,87.6,0.8,1.9,1.0,,23.0,31.7,9.4,22.5,,9.9
01-Sep-2018,01:15,01-Sep-2018,01:30,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.5,977.7,151.0,57.0,93.7,18.6,,25.3,80.3,0.8,1.9,1.0,,27.9,30.2,8.4,20.9,,10.8
01-Sep-2018,01:30,01-Sep-2018,01:45,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.4,977.6,151.0,57.0,93.9,18.4,,25.9,80.6,0.7,1.9,1.1,,28.9,30.0,7.7,20.2,,10.5
01-Sep-2018,01:45,01-Sep-2018,02:00,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.3,977.5,151.0,56.0,94.7,17.9,,26.9,112.8,0.7,1.9,1.2,,26.0,32.8,10.1,23.7,2.3,
01-Sep-2018,02:00,01-Sep-2018,02:15,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.3,977.4,151.0,56.0,94.7,17.8,,25.5,92.7,0.4,,1.1,,,,,,1.9,
01-Sep-2018,02:15,01-Sep-2018,02:30,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.3,977.3,151.0,56.0,94.2,18.4,,23.0,78.6,0.4,,1.0,,,,,,1.3,
01-Sep-2018,02:30,01-Sep-2018,02:45,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.4,977.1,151.0,56.0,93.9,18.6,,23.5,77.7,0.6,,1.0,,,,,,1.8,
01-Sep-2018,02:45,01-Sep-2018,03:00,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.4,977.1,145.0,58.0,93.6,18.7,,24.0,75.3,0.8,,1.0,,,,,,1.9,
01-Sep-2018,03:00,01-Sep-2018,03:15,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.4,977.3,145.0,58.0,93.2,18.8,,24.6,79.8,0.9,1.8,1.1,,18.7,31.5,8.3,21.6,2.1,7.2
01-Sep-2018,03:15,01-Sep-2018,03:30,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.3,977.5,145.0,58.0,93.1,18.8,,24.7,88.8,1.1,1.8,1.1,,18.6,30.0,7.5,20.1,2.3,8.0
01-Sep-2018,03:30,01-Sep-2018,03:45,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.3,977.5,145.0,58.0,92.5,18.9,,24.7,87.1,0.9,1.8,1.1,,19.7,28.6,7.0,18.9,2.5,8.6
01-Sep-2018,03:45,01-Sep-2018,04:00,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.3,977.5,132.0,51.0,92.0,18.8,,24.5,88.0,0.8,1.8,0.9,,20.7,29.4,7.9,20.1,2.3,8.1
01-Sep-2018,04:00,01-Sep-2018,04:15,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.1,977.7,132.0,51.0,88.7,19.1,,23.7,82.0,1.3,1.7,0.9,,20.5,23.4,6.7,16.1,4.6,8.9
01-Sep-2018,04:15,01-Sep-2018,04:30,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",28.0,977.4,132.0,51.0,88.6,19.1,,22.8,102.2,1.2,1.7,0.9,,20.9,22.6,5.7,14.6,5.2,9.6
01-Sep-2018,04:30,01-Sep-2018,04:45,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",27.9,977.3,132.0,51.0,89.2,18.9,,21.9,110.6,1.0,1.8,0.8,,22.3,35.8,6.7,22.5,3.8,10.6
01-Sep-2018,04:45,01-Sep-2018,05:00,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",27.9,977.4,95.0,47.0,89.5,19.0,,22.3,84.2,0.5,,0.7,,22.6,33.9,7.0,21.7,3.9,9.6
01-Sep-2018,05:00,01-Sep-2018,05:15,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",27.9,977.5,95.0,47.0,89.7,19.0,,24.9,100.2,0.9,0.9,1.0,,21.6,29.7,6.9,19.4,3.6,8.5
01-Sep-2018,05:15,01-Sep-2018,05:30,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",27.8,977.5,95.0,47.0,89.7,18.7,,22.2,112.4,1.0,0.9,0.6,,22.3,38.4,8.9,25.7,2.9,9.0
01-Sep-2018,05:30,01-Sep-2018,05:45,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",27.8,977.8,95.0,47.0,90.1,19.1,,19.9,113.9,1.0,1.0,0.6,,23.2,44.6,12.8,32.1,2.9,9.9
01-Sep-2018,05:45,01-Sep-2018,06:00,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",27.8,977.8,97.0,44.0,90.8,20.4,,20.1,116.3,0.9,1.0,0.6,,23.0,39.7,22.1,37.0,1.3,9.6
01-Sep-2018,06:00,01-Sep-2018,06:15,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",27.7,977.9,97.0,44.0,90.6,26.2,,21.7,132.2,1.0,1.0,0.7,,22.2,36.0,16.3,30.4,2.4,9.3
01-Sep-2018,06:15,01-Sep-2018,06:30,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",27.8,978.1,97.0,44.0,90.8,38.2,,22.1,120.5,1.2,1.0,0.7,,22.9,35.5,20.1,33.2,2.4,9.4
