﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Sep-2018,00:00,01-Sep-2018,00:15,Delhi,Delhi,"Patparganj, Delhi - DPCC",29.3,980.4,108.0,45.0,84.4,3.4,,6.7,122.4,1.5,0.6,0.3,,36.1,7.3,1.2,8.4,13.7,2.1
01-Sep-2018,00:15,01-Sep-2018,00:30,Delhi,Delhi,"Patparganj, Delhi - DPCC",29.4,980.3,108.0,45.0,83.5,3.3,,6.7,120.3,1.4,0.6,0.3,,34.6,6.8,1.3,8.1,14.0,1.9
01-Sep-2018,00:30,01-Sep-2018,00:45,Delhi,Delhi,"Patparganj, Delhi - DPCC",29.1,980.2,108.0,45.0,84.6,3.3,,6.5,126.3,0.6,0.6,0.3,,32.6,6.5,1.1,7.6,14.8,2.1
01-Sep-2018,00:45,01-Sep-2018,01:00,Delhi,Delhi,"Patparganj, Delhi - DPCC",29.1,980.3,81.0,35.0,83.8,3.4,,5.8,113.3,2.1,0.6,0.2,,,6.0,1.1,7.1,14.9,2.1
01-Sep-2018,01:00,01-Sep-2018,01:15,Delhi,Delhi,"Patparganj, Delhi - DPCC",29.1,980.2,81.0,35.0,83.9,3.4,,5.4,112.2,1.7,0.6,0.2,,32.5,5.4,1.1,6.4,,2.0
01-Sep-2018,01:15,01-Sep-2018,01:30,Delhi,Delhi,"Patparganj, Delhi - DPCC",29.2,980.2,81.0,35.0,84.1,3.4,,5.2,112.0,1.2,0.5,0.2,,41.7,5.3,1.1,6.4,,2.0
01-Sep-2018,01:30,01-Sep-2018,01:45,Delhi,Delhi,"Patparganj, Delhi - DPCC",29.1,980.1,81.0,35.0,84.5,3.4,,5.0,116.8,1.3,0.5,0.2,,43.1,5.8,0.9,6.6,19.8,2.2
01-Sep-2018,01:45,01-Sep-2018,02:00,Delhi,Delhi,"Patparganj, Delhi - DPCC",29.1,980.1,88.0,40.0,84.3,3.4,,5.0,115.8,1.1,0.5,0.2,,34.3,5.8,0.9,6.7,12.6,2.1
01-Sep-2018,02:00,01-Sep-2018,02:15,Delhi,Delhi,"Patparganj, Delhi - DPCC",29.1,979.9,88.0,40.0,84.4,3.3,,5.0,118.6,0.8,,0.2,,,,,,12.1,
01-Sep-2018,02:15,01-Sep-2018,02:30,Delhi,Delhi,"Patparganj, Delhi - DPCC",29.0,979.8,88.0,40.0,84.8,3.4,,4.9,116.8,0.7,,0.2,,,,,,11.8,
01-Sep-2018,02:30,01-Sep-2018,02:45,Delhi,Delhi,"Patparganj, Delhi - DPCC",29.0,979.6,88.0,40.0,84.2,3.3,,4.8,123.8,1.0,,0.2,,,,,,11.8,
01-Sep-2018,02:45,01-Sep-2018,03:00,Delhi,Delhi,"Patparganj, Delhi - DPCC",29.1,979.6,89.0,33.0,84.7,3.4,,4.8,119.8,1.3,0.5,0.2,,38.2,6.3,0.8,7.1,11.9,
