﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Sep-2018,00:00,01-Sep-2018,00:15,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",1.2,311.9,,,29.5,99.3,4.6,979.9,,,190.0,72.0,2.2,29.8,17.6,1.3,,,,0.5,79.2,,,,,,,23.5,9.7,,,,,,,,,,
01-Sep-2018,00:15,01-Sep-2018,00:30,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",1.2,309.4,,,29.4,99.3,4.6,980.0,,,190.0,72.0,2.2,28.3,16.9,1.2,,193.8,,0.4,74.3,,,,,,,23.7,11.5,,,,,,,,,,
01-Sep-2018,00:30,01-Sep-2018,00:45,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",1.1,353.1,,,29.3,99.3,4.7,980.0,,,190.0,72.0,2.2,27.1,16.2,1.2,,,,0.5,76.5,,,,,,,24.3,12.3,,,,,,,,,,
01-Sep-2018,00:45,01-Sep-2018,01:00,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",1.6,354.1,,,29.3,99.3,4.6,979.9,,,190.0,72.0,2.2,25.6,15.4,,,80.5,,0.5,76.0,,,,,,,,12.6,,,,,,,,,,
01-Sep-2018,01:00,01-Sep-2018,01:15,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",1.3,351.6,,,29.2,99.3,4.7,979.9,,,157.0,57.0,2.0,21.3,13.0,0.9,,,,0.4,75.7,,,,,,,24.4,11.5,,,,,,,,,,
01-Sep-2018,01:15,01-Sep-2018,01:30,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",1.0,340.4,,,29.1,99.3,4.6,979.9,,,157.0,57.0,1.5,19.7,11.7,0.9,,,,0.4,74.5,,,,,,,26.1,10.1,,,,,,,,,,
01-Sep-2018,01:30,01-Sep-2018,01:45,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",1.1,339.3,,,29.1,99.3,4.6,979.9,,,157.0,57.0,1.3,17.8,10.5,0.9,,,,0.3,72.4,,,,,,,28.5,8.6,,,,,,,,,,
01-Sep-2018,01:45,01-Sep-2018,02:00,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",0.9,347.7,,,29.1,99.3,4.7,979.8,,,157.0,57.0,1.4,17.8,10.6,0.9,,19.9,,0.3,73.4,,,,,,,27.9,8.5,,,,,,,,,,
01-Sep-2018,02:00,01-Sep-2018,02:15,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",0.9,1.0,,,29.2,99.3,4.7,979.7,,,99.0,30.0,,,,,,17.9,,0.4,75.5,,,,,,,,,,,,,,,,,,
01-Sep-2018,02:15,01-Sep-2018,02:30,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",0.8,17.0,,,29.1,99.3,4.8,979.6,,,99.0,30.0,,,,,,17.2,,0.3,77.4,,,,,,,,,,,,,,,,,,
