﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Sep-2018,00:00,01-Sep-2018,00:15,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",30.0,734.0,111.0,49.0,88.0,19.0,30.4,19.9,149.0,1.2,0.98,1.5,,30.2,29.3,3.3,18.3,13.3,3.5
01-Sep-2018,00:15,01-Sep-2018,00:30,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",29.9,734.0,111.0,49.0,87.0,19.0,30.6,19.5,135.0,1.2,0.93,1.4,,31.7,25.1,2.9,15.7,17.0,2.9
01-Sep-2018,00:30,01-Sep-2018,00:45,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",30.0,734.0,111.0,49.0,87.0,19.0,30.7,19.3,136.0,1.4,0.92,1.3,,32.0,22.5,2.5,14.0,18.0,3.5
01-Sep-2018,00:45,01-Sep-2018,01:00,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",,,,,,,,,,,,,,,,,,,
01-Sep-2018,01:00,01-Sep-2018,01:15,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",30.1,734.0,83.0,43.0,87.0,19.0,30.5,18.9,152.0,0.9,0.92,1.3,,31.4,21.8,2.3,13.5,18.3,3.6
01-Sep-2018,01:15,01-Sep-2018,01:30,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",30.1,734.0,83.0,43.0,87.0,19.0,30.6,19.9,142.0,1.4,0.86,1.3,,32.7,21.0,2.6,13.3,20.7,3.4
01-Sep-2018,01:30,01-Sep-2018,01:45,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",30.0,734.0,83.0,43.0,87.0,19.0,30.6,19.8,147.0,1.1,0.81,1.2,,32.3,19.0,1.9,11.6,22.0,3.4
01-Sep-2018,01:45,01-Sep-2018,02:00,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",30.1,734.0,86.0,41.0,88.0,18.0,30.6,18.8,167.0,0.6,0.89,1.2,,31.5,18.0,2.0,11.2,21.9,3.4
01-Sep-2018,02:00,01-Sep-2018,02:15,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",30.0,734.0,86.0,41.0,88.0,19.0,30.4,19.2,139.0,0.9,0.92,1.2,,30.2,17.9,2.1,11.2,22.4,3.1
01-Sep-2018,02:15,01-Sep-2018,02:30,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",30.0,734.0,86.0,41.0,88.0,19.0,30.5,21.2,115.0,0.8,0.92,1.1,,31.1,18.4,1.8,11.2,20.8,2.7
01-Sep-2018,02:30,01-Sep-2018,02:45,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",29.9,734.0,86.0,41.0,88.0,19.0,30.6,23.1,111.0,1.0,0.9,1.1,,31.3,20.8,1.9,12.6,16.7,3.2
01-Sep-2018,02:45,01-Sep-2018,03:00,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",29.9,734.0,96.0,38.0,88.0,19.0,30.6,21.8,107.0,0.9,0.93,1.1,,30.8,24.4,2.0,14.6,15.1,3.3
01-Sep-2018,03:00,01-Sep-2018,03:15,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",29.9,734.0,96.0,38.0,88.0,19.0,30.4,19.6,112.0,1.3,0.97,1.1,,30.0,27.3,2.4,16.5,14.5,2.9
01-Sep-2018,03:15,01-Sep-2018,03:30,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",29.7,734.0,96.0,38.0,87.0,19.0,30.6,19.0,104.0,1.7,1.03,1.2,,31.5,32.0,2.6,19.1,11.9,2.8
