From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Sep-2018,00:00,01-Sep-2018,00:15,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.3,283.0,,,30.1,85.0,17.0,717.0,,,62.0,13.0,2.9,16.1,10.9,0.34,,3.3,,0.0,0.2,,0.1,,,0.0,,7.2,13.9,32.8,,0.0,,,,,,,
01-Sep-2018,00:15,01-Sep-2018,00:30,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.3,283.0,,,30.0,86.0,17.0,717.0,,,62.0,13.0,4.9,16.4,12.7,0.29,,2.4,,0.0,0.2,,0.0,,,0.0,,7.5,13.1,32.8,,0.0,,,,,,,
01-Sep-2018,00:30,01-Sep-2018,00:45,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.4,268.0,,,30.1,86.0,17.0,718.0,,,62.0,13.0,6.6,16.7,14.2,0.32,,2.7,,0.0,0.3,,0.0,,,0.0,,8.0,14.4,32.9,,0.0,,,,,,,
01-Sep-2018,00:45,01-Sep-2018,01:00,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.5,219.0,,,30.1,86.0,17.0,719.0,,,69.0,32.0,7.6,16.8,15.1,0.37,,2.9,,0.0,0.4,,0.0,,,0.0,,8.2,16.5,33.0,,0.0,,,,,,,
01-Sep-2018,01:00,01-Sep-2018,01:15,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.4,217.0,,,30.1,86.0,17.0,718.0,,,69.0,32.0,6.7,16.1,14.0,0.52,,2.4,,0.0,0.4,,0.1,,,0.0,,8.0,13.1,32.6,,0.0,,,,,,,
01-Sep-2018,01:15,01-Sep-2018,01:30,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.3,217.0,,,30.0,86.0,17.0,718.0,,,69.0,32.0,5.6,15.5,12.8,0.24,,3.1,,0.0,0.4,,0.1,,,0.0,,7.3,7.1,31.2,,0.0,,,,,,,
01-Sep-2018,01:30,01-Sep-2018,01:45,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.3,217.0,,,30.0,86.0,17.0,719.0,,,69.0,32.0,4.6,15.2,11.8,0.1,,3.7,,0.0,0.3,,0.0,,,0.0,,6.8,6.0,30.4,,0.0,,,,,,,
01-Sep-2018,01:45,01-Sep-2018,02:00,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.3,217.0,,,30.0,86.0,17.0,718.0,,,62.0,21.0,3.9,14.6,11.0,0.1,,4.9,,0.0,0.3,,0.0,,,0.0,,6.5,3.9,29.9,,0.0,,,,,,,
01-Sep-2018,02:00,01-Sep-2018,02:15,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.4,217.0,,,30.1,85.0,17.0,718.0,,,62.0,21.0,3.4,14.1,10.3,0.19,,5.9,,0.0,0.3,,0.0,,,0.0,,6.4,0.8,29.6,,0.0,,,,,,,
01-Sep-2018,02:15,01-Sep-2018,02:30,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.3,217.0,,,30.1,85.0,17.0,718.0,,,62.0,21.0,2.9,13.5,9.5,0.23,,5.7,,0.0,0.3,,0.0,,,0.0,,6.4,1.0,29.5,,0.0,,,,,,,
01-Sep-2018,02:30,01-Sep-2018,02:45,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.4,217.0,,,30.1,85.0,17.0,718.0,,,62.0,21.0,2.7,13.1,9.2,0.18,,,,0.0,0.2,,0.0,,,0.0,,6.4,,29.5,,0.0,,,,,,,
01-Sep-2018,02:45,01-Sep-2018,03:00,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.3,217.0,,,30.1,85.0,17.0,718.0,,,53.0,19.0,2.4,12.8,8.7,0.21,,,,0.0,0.2,,0.0,,,0.0,,6.8,0.8,29.6,,0.0,,,,,,,
01-Sep-2018,03:00,01-Sep-2018,03:15,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.3,218.0,,,30.0,85.0,17.0,719.0,,,53.0,19.0,2.4,12.0,8.4,0.15,,,,0.0,0.2,,0.0,,,0.0,,7.7,1.3,29.7,,0.0,,,,,,,
01-Sep-2018,03:15,01-Sep-2018,03:30,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.6,243.0,,,30.0,85.0,17.0,718.0,,,53.0,19.0,2.3,11.9,8.3,0.19,,10.6,,0.0,0.2,,0.0,,,0.0,,7.4,2.6,29.7,,0.0,,,,,,,
01-Sep-2018,03:30,01-Sep-2018,03:45,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.7,269.0,,,30.1,85.0,17.0,718.0,,,53.0,19.0,2.5,11.8,8.3,0.22,,8.4,,0.0,0.2,,0.0,,,0.0,,6.2,2.6,29.6,,0.0,,,,,,,
01-Sep-2018,03:45,01-Sep-2018,04:00,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",0.9,281.0,,,30.2,85.0,17.0,718.0,,,65.0,17.0,2.2,11.7,8.0,0.16,,9.0,,0.0,0.2,,0.0,,,0.0,,5.9,3.7,29.5,,0.0,,,,,,,
01-Sep-2018,04:00,01-Sep-2018,04:15,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",1.4,280.0,,,30.2,84.0,17.0,718.0,,,65.0,17.0,2.0,9.6,6.7,0.13,,12.7,,0.0,0.2,,0.0,,,0.0,,5.9,15.2,29.4,,0.0,,,,,,,
01-Sep-2018,04:15,01-Sep-2018,04:30,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",1.9,289.0,,,30.3,81.0,17.0,718.0,,,65.0,17.0,1.8,8.6,6.0,0.16,,13.1,,0.0,0.2,,0.0,,,0.0,,6.7,19.7,29.4,,0.0,,,,,,,
01-Sep-2018,04:30,01-Sep-2018,04:45,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",2.2,296.0,,,30.5,80.0,17.0,718.0,,,65.0,17.0,1.6,8.3,5.8,0.18,,14.5,,0.0,0.2,,0.0,,,0.0,,8.3,19.1,29.4,,0.0,,,,,,,
01-Sep-2018,04:45,01-Sep-2018,05:00,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",2.2,303.0,,,30.5,79.0,17.0,718.0,,,68.0,24.0,1.1,8.2,5.2,0.23,,15.7,,0.0,0.5,,0.0,,,0.0,,7.7,17.3,29.4,,0.0,,,,,,,
01-Sep-2018,05:00,01-Sep-2018,05:15,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",2.0,302.0,,,30.4,79.0,17.0,718.0,,,68.0,24.0,1.0,8.5,5.3,0.0,,13.3,,0.0,0.6,,0.1,,,0.0,,7.1,19.7,30.1,,0.0,,,,,,,
01-Sep-2018,05:15,01-Sep-2018,05:30,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",2.0,308.0,,,30.3,80.0,17.0,719.0,,,68.0,24.0,0.8,7.3,4.5,0.29,,15.7,,0.0,0.4,,0.0,,,0.0,,7.5,20.7,31.3,,0.0,,,,,,,
01-Sep-2018,05:30,01-Sep-2018,05:45,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB",1.7,304.0,,,30.2,80.0,17.0,719.0,,,68.0,24.0,0.6,6.4,3.9,0.37,,14.5,,0.0,0.3,,0.0,,,0.0,,7.9,22.5,32.2,,0.0,,,,,,,
