From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Sep-2018,00:00,01-Sep-2018,00:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",0.94,279.58,,,,73.97,11.5,748.91,,,113.7,50.6,15.96,16.04,21.17,0.1,,28.09,,0.42,1.58,0.0,,,,-0.11,,7.58,9.5,,0.85,,,,0.0,,,,
01-Sep-2018,00:15,01-Sep-2018,00:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",0.97,277.17,,,,74.52,11.5,748.91,,,113.7,50.6,14.51,17.44,20.74,0.02,,25.03,,0.0,1.01,0.0,,,,0.91,,7.78,9.16,,0.57,,,,0.0,,,,
01-Sep-2018,00:30,01-Sep-2018,00:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Sep-2018,00:45,01-Sep-2018,01:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.06,275.74,,,,75.39,11.7,748.92,,,111.0,49.3,11.61,16.94,18.16,0.0,,26.47,,0.0,0.85,0.0,,,,0.0,,6.5,8.98,,0.49,,,,0.0,,,,
01-Sep-2018,01:00,01-Sep-2018,01:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.03,281.88,,,,76.11,11.9,748.93,,,74.5,32.3,12.22,17.34,18.86,,,25.22,,0.0,0.76,0.0,,,,0.55,,5.92,8.72,,0.01,,,,0.0,,,,
01-Sep-2018,01:15,01-Sep-2018,01:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.43,290.57,,,,76.53,12.0,748.94,,,74.5,32.3,11.96,18.8,19.41,0.76,,23.73,,0.0,0.61,0.0,,,,-0.7,,5.64,9.99,,0.0,,,,0.0,,,,
01-Sep-2018,01:30,01-Sep-2018,01:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Sep-2018,01:45,01-Sep-2018,02:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",0.97,279.06,,,,78.25,11.3,748.91,,,74.4,33.7,10.35,20.02,18.77,0.61,,22.26,,0.0,0.52,0.0,,,,0.16,,5.4,9.02,,0.0,,,,0.0,,,,
01-Sep-2018,02:00,01-Sep-2018,02:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.1,285.09,,,,78.65,11.7,748.92,,,72.7,52.5,9.7,20.4,18.44,0.54,,22.34,,0.0,0.43,0.0,,,,0.11,,5.28,8.34,,0.0,,,,0.0,,,,
01-Sep-2018,02:15,01-Sep-2018,02:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.2,287.14,,,,79.08,11.8,748.92,,,72.7,52.5,10.38,19.95,18.75,0.39,,23.01,,0.0,0.39,0.0,,,,0.04,,4.61,9.77,,0.0,,,,0.0,,,,
01-Sep-2018,02:30,01-Sep-2018,02:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.3,282.15,,,,79.63,11.8,748.93,,,72.7,52.5,9.52,18.47,17.29,0.37,,22.57,,0.0,0.43,0.0,,,,-0.53,,5.19,8.47,,0.0,,,,0.0,,,,
01-Sep-2018,02:45,01-Sep-2018,03:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.02,288.17,,,,80.25,11.7,748.92,,,71.8,51.1,12.01,18.51,19.31,0.38,,23.35,,0.0,0.45,0.0,,,,-0.06,,5.12,8.82,,0.0,,,,0.0,,,,
01-Sep-2018,03:00,01-Sep-2018,03:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.33,282.09,,,,80.7,11.5,748.91,,,59.7,31.8,8.43,20.74,17.6,,,21.75,,0.0,0.42,0.0,,,,-0.53,,5.94,8.59,,0.0,,,,0.0,,,,
01-Sep-2018,03:15,01-Sep-2018,03:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.38,284.9,,,,81.23,11.4,748.91,,,59.7,31.8,7.95,20.46,17.08,0.82,,24.87,,0.0,0.34,0.0,,,,-0.98,,10.57,8.12,,0.0,,,,0.0,,,,
01-Sep-2018,03:30,01-Sep-2018,03:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",0.97,285.41,,,,81.53,11.4,748.92,,,59.7,31.8,8.79,19.62,17.31,1.03,,25.6,,0.0,0.35,0.0,,,,-0.47,,12.09,8.06,,0.0,,,,0.0,,,,
01-Sep-2018,03:45,01-Sep-2018,04:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.08,290.62,,,,81.54,12.0,748.92,,,60.7,31.0,6.85,17.58,14.69,0.92,,26.34,,0.0,0.01,0.0,,,,0.24,,8.13,8.81,,0.0,,,,0.0,,,,
01-Sep-2018,04:00,01-Sep-2018,04:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.48,285.51,,,,82.04,11.9,748.93,,,74.6,21.2,8.55,15.47,14.94,0.7,,27.7,,0.0,0.0,0.0,,,,-1.29,,7.15,9.24,,0.0,,,,0.0,,,,
01-Sep-2018,04:15,01-Sep-2018,04:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.12,291.54,,,,82.3,11.7,748.92,,,74.6,21.2,8.17,16.23,15.04,0.63,,26.97,,0.0,0.0,0.0,,,,-0.24,,6.05,9.37,,0.0,,,,0.0,,,,
01-Sep-2018,04:30,01-Sep-2018,04:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.15,290.26,,,,82.62,11.4,748.91,,,74.6,21.2,10.77,16.08,17.03,0.59,,24.47,,0.0,0.0,0.0,,,,-0.09,,5.79,8.54,,0.0,,,,0.0,,,,
01-Sep-2018,04:45,01-Sep-2018,05:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.15,290.43,,,,82.96,11.8,748.92,,,73.6,21.7,10.19,15.68,16.36,0.53,,23.12,,0.0,0.4,0.0,,,,-0.53,,5.03,8.79,,0.0,,,,0.0,,,,
01-Sep-2018,05:00,01-Sep-2018,05:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.04,277.74,,,,83.17,11.5,748.92,,,59.2,29.0,8.8,17.51,16.21,,,23.46,,0.0,0.44,0.0,,,,0.13,,5.3,8.4,,0.0,,,,0.0,,,,
01-Sep-2018,05:15,01-Sep-2018,05:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.11,276.93,,,,83.76,11.5,748.91,,,59.2,29.0,11.51,17.96,18.61,0.64,,22.5,,0.0,0.37,0.0,,,,-0.37,,5.57,7.99,,0.0,,,,0.0,,,,
01-Sep-2018,05:30,01-Sep-2018,05:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.16,283.51,,,,83.97,11.7,748.92,,,59.2,29.0,16.16,18.09,22.4,0.64,,18.35,,0.0,0.01,0.0,,,,0.31,,5.33,9.74,,0.0,,,,0.0,,,,
01-Sep-2018,05:45,01-Sep-2018,06:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.08,283.57,,,,83.94,11.9,748.91,,,59.3,29.4,17.15,17.42,22.84,0.54,,17.4,,0.0,0.36,0.0,,,,0.08,,5.6,9.16,,0.0,,,,0.0,,,,
01-Sep-2018,06:00,01-Sep-2018,06:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.17,298.11,,,,83.55,14.1,748.96,,,61.2,34.3,19.84,16.02,24.26,0.55,,18.01,,0.0,0.56,0.0,,,,-0.39,,5.77,9.02,,0.0,,,,0.0,,,,
01-Sep-2018,06:15,01-Sep-2018,06:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.33,306.77,,,,82.52,23.9,749.2,,,61.2,34.3,30.43,9.34,28.44,0.54,,18.98,,0.0,0.62,0.0,,,,-0.75,,6.42,9.67,,0.0,,,,0.0,,,,
01-Sep-2018,06:30,01-Sep-2018,06:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.66,308.13,,,,82.1,35.8,749.47,,,61.2,34.3,21.28,14.52,24.64,0.58,,20.07,,0.0,0.78,0.0,,,,0.02,,6.46,8.91,,0.35,,,,0.0,,,,
01-Sep-2018,06:45,01-Sep-2018,07:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.81,306.11,,,,81.42,50.8,749.83,,,62.4,35.6,23.52,14.01,26.16,0.59,,21.44,,0.34,1.06,0.0,,,,-0.82,,6.21,8.2,,0.51,,,,0.0,,,,
01-Sep-2018,07:00,01-Sep-2018,07:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.69,309.31,,,,80.89,72.8,750.35,,,79.0,53.3,27.24,12.0,27.87,,,21.93,,0.01,0.96,0.0,,,,0.69,,6.77,8.88,,0.54,,,,0.0,,,,
01-Sep-2018,07:15,01-Sep-2018,07:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",2.44,309.38,,,,80.83,93.4,750.84,,,79.0,53.3,29.54,10.62,28.52,0.96,,22.5,,0.36,1.13,0.0,,,,-1.24,,7.72,8.89,,0.59,,,,0.0,,,,
01-Sep-2018,07:30,01-Sep-2018,07:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Sep-2018,07:45,01-Sep-2018,08:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.59,306.13,,,,79.76,130.5,751.73,,,80.5,52.2,33.72,12.96,33.7,1.64,,21.16,,0.51,1.54,0.0,,,,-1.36,,13.93,8.57,,0.79,,,,0.0,,,,
01-Sep-2018,08:00,01-Sep-2018,08:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.88,311.58,,,,78.45,148.7,752.15,,,100.9,36.2,31.24,14.07,32.08,1.55,,22.08,,0.66,2.27,0.0,,,,-0.25,,13.01,9.29,,1.2,,,,0.4,,,,
01-Sep-2018,08:15,01-Sep-2018,08:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.09,306.26,,,,77.63,148.2,752.14,,,100.9,36.2,28.16,10.09,27.75,1.33,,22.55,,0.7,2.28,0.0,,,,1.2,,9.89,8.42,,1.21,,,,0.45,,,,
01-Sep-2018,08:30,01-Sep-2018,08:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.46,310.88,,,,77.17,151.9,752.22,,,100.9,36.2,32.8,7.68,29.92,1.23,,21.59,,0.67,1.97,0.0,,,,-0.99,,8.55,8.79,,1.22,,,,0.38,,,,
01-Sep-2018,08:45,01-Sep-2018,09:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.2,319.1,,,,77.15,184.5,753.01,,,100.8,36.3,33.19,8.46,29.75,1.13,,22.15,,0.54,1.94,0.0,,,,-1.61,,7.27,9.47,,1.1,,,,0.42,,,,
01-Sep-2018,09:00,01-Sep-2018,09:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.63,318.57,,,,76.63,201.6,753.43,,,99.0,38.1,26.65,12.32,27.78,,,22.74,,0.98,2.84,0.0,,,,0.12,,5.62,9.38,,1.5,,,,0.01,,,,
01-Sep-2018,09:15,01-Sep-2018,09:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.58,305.29,,,,76.11,216.4,753.78,,,99.0,38.1,26.24,13.4,28.02,0.69,,25.29,,0.79,2.52,0.0,,,,0.13,,5.99,8.69,,1.3,,,,0.5,,,,
01-Sep-2018,09:30,01-Sep-2018,09:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.62,304.61,,,,75.79,248.7,754.55,,,99.0,38.1,24.27,11.97,25.69,0.66,,27.27,,0.96,2.47,0.0,,,,-0.02,,6.08,9.43,,1.4,,,,0.54,,,,
01-Sep-2018,09:45,01-Sep-2018,10:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.93,305.51,,,,75.16,284.0,755.38,,,100.5,39.2,24.14,12.74,25.99,0.65,,28.88,,0.89,2.92,0.36,,,,0.81,,5.89,8.87,,1.59,,,,0.64,,,,
01-Sep-2018,10:00,01-Sep-2018,10:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.82,309.72,,,,73.9,309.4,755.99,,,120.6,55.2,24.71,11.29,25.68,0.69,,29.5,,0.95,3.02,0.36,,,,0.9,,6.11,9.09,,1.6,,,,0.7,,,,
01-Sep-2018,10:15,01-Sep-2018,10:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.66,301.76,,,,72.88,322.3,756.29,,,120.6,55.2,24.84,12.92,26.65,0.62,,31.02,,1.06,3.53,0.43,,,,-0.78,,6.18,9.12,,1.83,,,,0.74,,,,
01-Sep-2018,10:30,01-Sep-2018,10:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.87,310.88,,,,71.57,346.4,756.86,,,120.6,55.2,26.05,13.07,27.49,0.68,,30.1,,0.88,3.71,0.45,,,,-0.78,,6.13,8.48,,2.02,,,,0.71,,,,
01-Sep-2018,10:45,01-Sep-2018,11:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.77,300.36,,,,71.35,306.1,755.9,,,120.1,54.5,27.56,12.95,28.82,0.59,,30.95,,1.17,4.12,0.5,,,,0.17,,6.02,8.8,,2.04,,,,0.7,,,,
01-Sep-2018,11:00,01-Sep-2018,11:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.31,301.22,,,,70.65,323.5,756.31,,,112.9,45.2,23.5,14.42,26.35,,,31.84,,1.21,4.77,0.68,,,,1.05,,6.01,9.16,,2.52,,,,1.05,,,,
01-Sep-2018,11:15,01-Sep-2018,11:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.19,306.71,,,,69.84,391.2,757.91,,,112.9,45.2,22.68,14.62,25.79,0.76,,34.03,,1.02,4.01,0.5,,,,-0.33,,5.83,9.48,,2.14,,,,0.85,,,,
01-Sep-2018,11:30,01-Sep-2018,11:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Sep-2018,11:45,01-Sep-2018,12:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.27,307.06,,,,67.92,360.2,757.18,,,112.8,45.2,26.3,14.55,28.66,0.96,,36.31,,1.03,3.83,0.49,,,,1.53,,6.07,9.39,,1.79,,,,0.7,,,,
01-Sep-2018,12:00,01-Sep-2018,12:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.13,289.21,,,,68.53,337.3,756.62,,,111.0,45.0,17.97,15.92,22.71,0.95,,42.19,,1.06,4.15,0.51,,,,1.78,,9.46,8.78,,1.95,,,,0.75,,,,
01-Sep-2018,12:15,01-Sep-2018,12:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.05,280.84,,,,68.02,327.7,756.38,,,111.0,45.0,18.38,19.24,24.78,1.56,,37.69,,1.24,4.77,0.52,,,,1.45,,13.08,9.04,,2.24,,,,0.02,,,,
01-Sep-2018,12:30,01-Sep-2018,12:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Sep-2018,12:45,01-Sep-2018,13:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",0.9,268.43,,,,67.55,275.3,755.14,,,109.1,44.0,16.92,16.79,22.33,1.22,,34.35,,0.9,3.5,0.4,,,,1.57,,9.59,10.26,,1.78,,,,0.59,,,,
01-Sep-2018,13:00,01-Sep-2018,13:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.32,284.13,,,,67.58,235.7,754.21,,,76.7,29.9,17.96,16.85,23.19,,,33.66,,0.87,3.42,0.39,,,,0.54,,9.06,8.6,,1.6,,,,0.62,,,,
01-Sep-2018,13:15,01-Sep-2018,13:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.34,284.81,,,,67.53,278.4,755.21,,,76.7,29.9,16.95,15.83,21.85,0.75,,35.72,,0.92,2.85,0.01,,,,0.82,,8.35,9.44,,1.49,,,,0.49,,,,
01-Sep-2018,13:30,01-Sep-2018,13:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01-Sep-2018,13:45,01-Sep-2018,14:00,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",1.07,314.36,,,,64.95,261.3,754.82,,,76.4,30.4,19.23,17.2,24.4,0.77,,35.92,,0.72,2.45,0.0,,,,0.03,,7.97,8.97,,1.26,,,,0.01,,,,
01-Sep-2018,14:00,01-Sep-2018,14:15,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",0.68,332.55,,,,65.19,154.5,752.28,,,71.5,37.3,17.2,17.52,22.94,0.79,,34.83,,0.85,3.01,0.0,,,,-0.28,,8.49,8.96,,1.52,,,,0.53,,,,
01-Sep-2018,14:15,01-Sep-2018,14:30,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",0.77,320.98,,,,65.42,150.7,752.19,,,71.5,37.3,23.9,18.94,29.01,0.82,,30.97,,0.7,3.17,0.36,,,,0.2,,8.4,8.89,,1.67,,,,0.63,,,,
01-Sep-2018,14:30,01-Sep-2018,14:45,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
