﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Sep-2018,00:00,01-Sep-2018,00:15,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",1.03,127.5,,,,92.88,133.7,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,00:15,01-Sep-2018,00:30,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",0.89,130.95,,,,93.83,137.3,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,00:30,01-Sep-2018,00:45,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",0.96,128.77,,,,94.54,138.8,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,00:45,01-Sep-2018,01:00,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",1.03,133.82,,,,94.51,138.2,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,01:00,01-Sep-2018,01:15,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",1.26,132.23,,,,94.5,136.3,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,01:15,01-Sep-2018,01:30,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",1.09,131.94,,,,94.35,135.8,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,01:30,01-Sep-2018,01:45,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",1.05,132.69,,,,94.3,135.6,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,01:45,01-Sep-2018,02:00,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",0.49,127.36,,,,94.34,134.9,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,02:00,01-Sep-2018,02:15,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",0.52,131.83,,,,94.49,138.2,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,02:15,01-Sep-2018,02:30,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",0.61,131.5,,,,94.5,140.0,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,02:30,01-Sep-2018,02:45,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",0.91,134.12,,,,94.52,139.8,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,02:45,01-Sep-2018,03:00,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",1.32,132.51,,,,94.5,138.2,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,03:00,01-Sep-2018,03:15,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",1.13,137.23,,,,94.48,134.4,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,03:15,01-Sep-2018,03:30,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",1.38,136.48,,,,93.49,130.7,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,03:30,01-Sep-2018,03:45,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",1.25,135.09,,,,93.47,138.5,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,03:45,01-Sep-2018,04:00,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",1.33,136.4,,,,93.83,140.7,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,04:00,01-Sep-2018,04:15,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",1.16,136.78,,,,93.89,139.3,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,04:15,01-Sep-2018,04:30,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",1.07,137.65,,,,94.13,141.6,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,04:30,01-Sep-2018,04:45,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",1.06,132.63,,,,94.49,142.1,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,04:45,01-Sep-2018,05:00,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",1.15,132.83,,,,94.5,144.0,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
01-Sep-2018,05:00,01-Sep-2018,05:15,Punjab,Khanna,"Kalal Majra, Khanna - PPCB",0.89,134.65,,,,94.5,146.1,,,,90.17,35.88,,10.12,,0.3,,10.1,,7.07,,,,,,,,14.11,4.64,,,0.0,,,,,,,
