﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Sep-2018,00:00,01-Sep-2018,00:15,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",28.7,736.0,99.0,53.0,91.0,9.0,24.0,7.6,252.0,0.4,0.0,0.9,,29.9,21.3,8.2,18.0,5.3,14.4
01-Sep-2018,00:15,01-Sep-2018,00:30,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",28.6,736.0,99.0,53.0,91.0,9.0,24.0,7.5,225.0,0.7,0.0,0.7,,26.2,23.0,20.7,29.1,5.4,11.9
01-Sep-2018,00:30,01-Sep-2018,00:45,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",28.6,736.0,99.0,53.0,91.0,9.0,24.8,7.8,237.0,1.0,0.0,0.7,,30.2,24.7,13.9,24.4,4.2,11.6
01-Sep-2018,00:45,01-Sep-2018,01:00,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",28.5,736.0,82.0,48.0,91.0,9.0,24.1,7.8,237.0,0.9,0.01,0.7,,30.3,21.9,14.2,23.2,4.0,10.5
01-Sep-2018,01:00,01-Sep-2018,01:15,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",28.5,736.0,82.0,48.0,91.0,9.0,23.8,7.2,239.0,0.5,0.03,0.7,,29.4,14.6,9.7,15.7,5.0,10.0
01-Sep-2018,01:15,01-Sep-2018,01:30,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",,,,,,,,,,,,,,,,,,,
01-Sep-2018,01:30,01-Sep-2018,01:45,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",28.4,736.0,82.0,48.0,91.0,9.0,23.8,6.6,246.0,0.3,0.07,0.6,,28.7,12.4,5.5,11.0,5.3,9.1
01-Sep-2018,01:45,01-Sep-2018,02:00,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",28.3,736.0,73.0,35.0,91.0,8.0,23.8,6.4,233.0,0.8,0.01,0.5,,28.5,11.5,5.4,10.6,5.8,8.7
01-Sep-2018,02:00,01-Sep-2018,02:15,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",28.2,736.0,73.0,35.0,91.0,8.0,23.9,6.3,238.0,0.9,4.97,0.5,,27.9,10.1,5.5,9.8,6.6,8.6
01-Sep-2018,02:15,01-Sep-2018,02:30,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",28.2,736.0,73.0,35.0,91.0,9.0,24.4,6.3,205.0,0.3,1.87,0.5,,27.3,8.5,5.2,8.8,7.2,8.7
01-Sep-2018,02:30,01-Sep-2018,02:45,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",28.1,736.0,73.0,35.0,91.0,8.0,26.4,6.1,221.0,0.3,1.59,0.4,,26.2,7.4,4.6,7.7,10.1,8.1
01-Sep-2018,02:45,01-Sep-2018,03:00,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",28.1,736.0,37.0,24.0,91.0,8.0,27.1,6.1,201.0,0.3,1.11,0.4,,26.1,5.2,4.3,6.3,13.4,7.3
01-Sep-2018,03:00,01-Sep-2018,03:15,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",28.1,736.0,37.0,24.0,91.0,8.0,27.3,6.3,280.0,0.3,0.0,0.5,,27.0,3.8,4.3,5.5,13.5,7.2
01-Sep-2018,03:15,01-Sep-2018,03:30,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",28.2,736.0,37.0,24.0,91.0,8.0,27.5,6.3,287.0,0.3,1.45,0.4,,27.4,5.6,4.5,6.7,11.7,7.1
01-Sep-2018,03:30,01-Sep-2018,03:45,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",28.3,736.0,37.0,24.0,91.0,8.0,27.5,6.4,260.0,0.3,1.4,0.4,,27.8,8.6,4.7,8.4,8.8,7.2
01-Sep-2018,03:45,01-Sep-2018,04:00,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",28.3,736.0,48.0,26.0,91.0,8.0,27.3,6.7,242.0,0.5,0.0,0.4,,27.6,10.6,5.8,10.3,7.2,7.4
01-Sep-2018,04:00,01-Sep-2018,04:15,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",28.2,736.0,48.0,26.0,91.0,8.0,27.3,6.9,241.0,0.5,1.71,0.5,,27.8,10.5,5.4,10.0,6.8,7.4
01-Sep-2018,04:15,01-Sep-2018,04:30,Uttar Pradesh,Moradabad,"Lajpat Nagar, Moradabad - UPPCB",28.1,736.0,48.0,26.0,91.0,8.0,27.4,6.8,244.0,0.3,0.0,0.4,,27.8,8.7,6.0,9.5,6.1,7.3
