﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Sep-2018,00:00,01-Sep-2018,00:15,Uttar Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",25.9,740.0,74.0,39.0,74.0,6.0,32.1,57.6,354.0,0.3,1.47,0.8,,13.7,26.5,7.8,20.5,3.96,37.7
01-Sep-2018,00:15,01-Sep-2018,00:30,Uttar Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",25.8,740.0,74.0,39.0,74.0,6.0,32.4,60.7,354.0,0.3,1.91,0.8,,13.8,27.7,7.9,21.1,3.33,35.2
01-Sep-2018,00:30,01-Sep-2018,00:45,Uttar Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",25.7,740.0,74.0,39.0,74.0,6.0,32.5,59.2,350.0,0.4,1.66,0.8,,14.4,26.0,7.6,20.0,5.49,36.3
01-Sep-2018,00:45,01-Sep-2018,01:00,Uttar Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",25.8,740.0,84.0,47.0,74.0,6.0,32.4,59.1,354.0,0.3,1.88,1.0,,14.5,20.9,7.6,17.3,7.49,24.6
01-Sep-2018,01:00,01-Sep-2018,01:15,Uttar Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",25.8,740.0,84.0,47.0,74.0,6.0,32.2,59.6,76.0,0.3,1.95,0.8,,14.2,21.2,7.6,17.4,6.04,20.2
01-Sep-2018,01:15,01-Sep-2018,01:30,Uttar Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",25.8,740.0,84.0,47.0,74.0,6.0,32.6,59.2,1.0,0.3,2.07,0.7,,14.6,20.3,7.8,17.1,6.08,19.3
01-Sep-2018,01:30,01-Sep-2018,01:45,Uttar Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",25.8,740.0,84.0,47.0,74.0,6.0,32.7,59.1,237.0,0.6,2.47,0.7,,15.2,19.4,7.8,16.6,6.61,18.3
01-Sep-2018,01:45,01-Sep-2018,02:00,Uttar Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",25.9,740.0,68.0,46.0,74.0,6.0,32.5,60.4,72.0,0.3,2.38,0.7,,14.9,19.6,7.7,16.7,5.9,16.9
01-Sep-2018,02:00,01-Sep-2018,02:15,Uttar Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",25.8,740.0,68.0,46.0,74.0,6.0,32.3,59.9,1.0,0.3,2.34,0.7,,14.0,20.0,8.2,17.3,5.08,15.9
01-Sep-2018,02:15,01-Sep-2018,02:30,Uttar Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",25.7,740.0,68.0,46.0,74.0,6.0,32.4,60.4,35.0,0.6,2.47,0.7,,14.2,19.4,8.4,17.1,5.61,15.5
