﻿From Date,From Time,To Date,To Time,State,Сity,Station,AT,BP,PM10,PM2.5,RH,SR,Temp,Toluene,WD,WS,CO,Benzene,P_Xylene,NH3,NO2,NO,NOx,Ozone,SO2
01-Sep-2018,00:00,01-Sep-2018,00:15,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.87,63.88,31.8,85.21,20.72,27.91,,203.56,1.87,0.15,0.13,,12.38,23.03,14.71,37.74,46.73,1.59
01-Sep-2018,00:15,01-Sep-2018,00:30,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.81,60.37,28.9,85.77,20.49,27.77,,203.26,1.85,0.27,0.12,,12.36,23.75,14.58,38.33,19.62,1.73
01-Sep-2018,00:30,01-Sep-2018,00:45,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.82,60.37,28.9,85.99,20.5,27.67,,202.84,1.81,0.29,0.12,,12.68,23.61,14.52,38.13,21.11,1.85
01-Sep-2018,00:45,01-Sep-2018,01:00,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.81,60.37,28.9,85.9,21.56,27.62,,202.21,1.91,0.28,0.11,,10.98,26.17,14.77,40.94,20.3,1.8
01-Sep-2018,01:00,01-Sep-2018,01:15,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.78,54.43,27.85,85.67,19.45,27.57,,202.06,1.81,0.28,0.11,,12.69,22.94,14.59,37.53,20.79,1.58
01-Sep-2018,01:15,01-Sep-2018,01:30,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.76,50.99,27.25,86.1,18.11,27.42,,198.9,1.98,0.27,0.1,,11.8,25.37,14.63,40.0,21.07,1.68
01-Sep-2018,01:30,01-Sep-2018,01:45,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.72,50.99,27.25,85.9,17.66,27.37,,203.65,1.79,0.28,0.09,,12.31,22.94,14.94,37.88,19.96,1.58
01-Sep-2018,01:45,01-Sep-2018,02:00,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.68,50.99,27.25,86.15,17.88,27.25,,201.86,1.84,0.27,0.08,,12.15,22.45,15.06,37.51,18.75,1.68
01-Sep-2018,02:00,01-Sep-2018,02:15,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.61,44.42,23.99,86.34,17.74,27.17,,203.58,1.84,0.27,0.08,,12.21,24.08,14.58,38.65,21.94,1.52
01-Sep-2018,02:15,01-Sep-2018,02:30,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.6,41.45,22.52,86.53,19.72,27.11,,203.54,1.93,0.27,0.08,,12.28,24.27,14.62,38.89,20.72,1.62
01-Sep-2018,02:30,01-Sep-2018,02:45,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.58,41.45,22.52,87.03,20.68,27.0,,199.02,2.07,0.27,0.08,,11.88,23.75,15.01,38.76,21.35,1.88
01-Sep-2018,02:45,01-Sep-2018,03:00,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.63,41.45,22.52,87.39,21.73,26.94,,202.04,2.15,0.26,0.08,,12.98,23.69,14.45,38.14,21.68,1.52
01-Sep-2018,03:00,01-Sep-2018,03:15,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.58,37.48,30.66,87.84,19.66,26.87,,201.81,1.75,0.26,0.08,,11.91,23.28,15.02,38.3,20.78,1.79
01-Sep-2018,03:15,01-Sep-2018,03:30,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.53,35.29,35.15,88.18,20.92,26.83,,206.95,1.71,0.26,0.07,,11.91,23.57,14.83,38.4,20.85,1.97
01-Sep-2018,03:30,01-Sep-2018,03:45,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.49,35.29,35.15,88.21,19.06,26.84,,204.8,1.51,0.24,0.08,,14.44,23.7,13.5,37.2,22.73,1.93
01-Sep-2018,03:45,01-Sep-2018,04:00,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.44,35.29,35.15,88.34,21.72,26.82,,211.71,1.4,0.27,0.08,,15.49,23.56,13.01,36.57,23.21,1.74
01-Sep-2018,04:00,01-Sep-2018,04:15,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.47,49.27,24.53,88.41,21.98,26.8,,208.1,1.54,0.17,0.09,,15.89,22.08,13.23,35.31,22.27,1.63
01-Sep-2018,04:15,01-Sep-2018,04:30,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.52,56.99,18.37,88.54,23.08,26.77,,215.03,1.21,0.27,0.09,,15.47,22.5,13.4,35.9,23.18,1.4
01-Sep-2018,04:30,01-Sep-2018,04:45,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.53,56.99,18.37,88.63,24.56,26.75,,215.51,1.25,0.28,0.08,,15.6,22.22,13.26,35.48,22.7,1.74
01-Sep-2018,04:45,01-Sep-2018,05:00,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.57,56.99,18.37,88.98,25.76,26.68,,220.83,1.06,0.3,0.08,,15.71,23.23,13.02,36.25,23.39,1.67
01-Sep-2018,05:00,01-Sep-2018,05:15,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.67,60.93,30.57,89.18,27.24,26.64,,219.63,1.05,0.3,0.04,,15.17,24.11,12.98,37.09,19.79,1.74
01-Sep-2018,05:15,01-Sep-2018,05:30,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.7,62.71,36.37,89.36,27.66,26.61,,225.98,1.0,0.31,0.11,,15.19,24.02,13.18,37.2,19.7,1.8
01-Sep-2018,05:30,01-Sep-2018,05:45,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.78,62.71,36.37,89.67,28.85,26.56,,223.07,1.05,0.29,0.15,,15.84,22.7,13.12,35.82,18.63,2.15
01-Sep-2018,05:45,01-Sep-2018,06:00,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB",,751.85,62.71,36.37,89.91,26.36,26.51,,209.7,1.11,0.29,0.15,,15.41,23.27,13.21,36.48,17.99,1.8
