From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Sep-2018,00:00,01-Sep-2018,00:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.03,,,,,,,,,49.0,21.0,8.66,10.04,18.35,0.98,,6.92,,0.2,0.07,,,,,,,,27.01,,,0.01,,,,,,26.93,
01-Sep-2018,00:15,01-Sep-2018,00:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.08,,,,,,,,,49.0,21.0,7.73,8.96,16.38,0.95,,6.18,,0.15,0.06,,,,,,,,24.11,,,0.01,,,,,,25.33,
01-Sep-2018,00:30,01-Sep-2018,00:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,,,,,,,,,,49.0,21.0,8.7,10.09,18.44,0.89,,6.96,,0.16,0.04,,,,,,,,27.14,,,0.01,,,,,,24.98,
01-Sep-2018,00:45,01-Sep-2018,01:00,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,,,,,,,,,,48.78,21.09,9.3,10.79,19.72,0.89,,7.44,,0.15,0.04,,,,,,,,29.03,,,0.01,,,,,,24.33,
01-Sep-2018,01:00,01-Sep-2018,01:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.05,,,,,,,,,44.0,23.0,9.55,11.08,20.25,0.9,,7.64,,0.12,0.06,,,,,,,,29.8,,,0.02,,,,,,24.14,
01-Sep-2018,01:15,01-Sep-2018,01:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.03,,,,,,,,,44.0,23.0,8.22,9.53,17.42,0.91,,6.57,,0.11,0.07,,,,,,,,25.64,,,0.01,,,,,,22.63,
01-Sep-2018,01:30,01-Sep-2018,01:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.04,,,,,,,,,44.0,23.0,8.37,9.71,17.75,0.9,,6.7,,0.1,0.06,,,,,,,,26.12,,,0.01,,,,,,21.0,
01-Sep-2018,01:45,01-Sep-2018,02:00,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.03,,,,,,,,,43.56,22.91,8.21,9.52,17.4,0.94,,6.57,,0.09,0.04,,,,,,,,25.6,,,0.02,,,,,,22.41,
01-Sep-2018,02:00,01-Sep-2018,02:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.03,,,,,,,,,34.0,21.0,7.8,9.04,16.53,0.88,,6.24,,0.08,0.03,,,,,,,,24.33,,,0.01,,,,,,20.27,
01-Sep-2018,02:15,01-Sep-2018,02:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.03,,,,,,,,,34.0,21.0,7.67,8.9,16.26,0.96,,6.14,,0.07,0.03,,,,,,,,23.93,,,0.01,,,,,,19.52,
01-Sep-2018,02:30,01-Sep-2018,02:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.03,,,,,,,,,34.0,21.0,8.56,9.93,18.14,0.91,,6.85,,0.07,0.04,,,,,,,,26.7,,,0.01,,,,,,20.08,
01-Sep-2018,02:45,01-Sep-2018,03:00,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.04,,,,,,,,,33.82,21.04,8.22,9.54,17.43,0.94,,6.58,,0.06,0.03,,,,,,,,25.65,,,0.01,,,,,,20.96,
01-Sep-2018,03:00,01-Sep-2018,03:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.03,,,,,,,,,30.0,22.0,9.14,10.61,19.39,0.91,,7.32,,0.06,0.03,,,,,,,,28.53,,,0.0,,,,,,18.23,
01-Sep-2018,03:15,01-Sep-2018,03:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,,,,,,,,,,30.0,22.0,10.73,12.44,22.74,0.88,,8.58,,0.06,0.03,,,,,,,,33.46,,,0.01,,,,,,18.41,
01-Sep-2018,03:30,01-Sep-2018,03:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.05,,,,,,,,,30.0,22.0,6.87,7.96,14.56,0.91,,5.49,,0.06,0.03,,,,,,,,21.42,,,0.01,,,,,,19.07,
01-Sep-2018,03:45,01-Sep-2018,04:00,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.05,,,,,,,,,30.13,21.96,6.29,7.3,13.33,0.91,,5.03,,0.06,0.02,,,,,,,,19.62,,,0.01,,,,,,19.79,
01-Sep-2018,04:00,01-Sep-2018,04:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.03,,,,,,,,,33.0,21.0,10.85,12.59,16.87,0.89,,8.68,,0.06,0.02,,,,,,,,33.86,,,0.01,,,,,,17.93,
01-Sep-2018,04:15,01-Sep-2018,04:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.06,,,,,,,,,33.0,21.0,10.77,12.5,22.84,0.95,,8.62,,0.07,0.03,,,,,,,,33.62,,,0.01,,,,,,18.41,
01-Sep-2018,04:30,01-Sep-2018,04:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.05,,,,,,,,,33.0,21.0,9.17,10.64,19.44,0.92,,7.34,,0.07,0.03,,,,,,,,28.61,,,0.01,,,,,,18.04,
01-Sep-2018,04:45,01-Sep-2018,05:00,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.03,,,,,,,,,32.51,20.69,10.66,12.37,22.6,0.97,,8.53,,0.07,0.02,,,,,,,,33.26,,,0.01,,,,,,17.2,
01-Sep-2018,05:00,01-Sep-2018,05:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.03,,,,,,,,,22.0,14.0,9.5,11.02,20.13,0.93,,7.6,,0.08,0.02,,,,,,,,29.63,,,0.01,,,,,,17.7,
01-Sep-2018,05:15,01-Sep-2018,05:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,,,,,,,,,,22.0,14.0,9.51,11.03,20.16,0.92,,7.61,,0.08,0.02,,,,,,,,29.67,,,0.01,,,,,,19.78,
01-Sep-2018,05:30,01-Sep-2018,05:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.25,,,,,,,,,22.0,14.0,7.75,8.99,16.44,0.91,,6.2,,0.07,0.03,,,,,,,,24.19,,,0.01,,,,,,14.41,
01-Sep-2018,05:45,01-Sep-2018,06:00,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.25,,,,,,,,,22.22,14.0,9.52,11.05,20.19,0.89,,7.62,,0.05,0.02,,,,,,,,29.71,,,0.01,,,,,,9.53,
01-Sep-2018,06:00,01-Sep-2018,06:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.3,,,,,0.25,,,,27.0,14.0,9.87,11.45,20.93,0.87,,7.9,,0.06,0.03,,,,,,,,30.8,,,0.0,,,,,,8.11,
01-Sep-2018,06:15,01-Sep-2018,06:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,0.6,,,,,,,,,27.0,14.0,8.53,9.9,18.09,0.96,,6.83,,0.06,0.02,,,,,,,,26.62,,,0.01,,,,,,7.65,
01-Sep-2018,06:30,01-Sep-2018,06:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,7.43,,,,,,,,,27.0,14.0,11.17,12.96,23.69,1.03,,8.94,,0.05,0.02,,,,,,,,34.86,,,0.01,,,,,,7.44,
01-Sep-2018,06:45,01-Sep-2018,07:00,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,13.53,,,,,,,,,26.73,14.4,8.57,9.94,18.18,1.06,,6.86,,0.07,0.02,,,,,,,,26.75,,,0.01,,,,,,6.8,
01-Sep-2018,07:00,01-Sep-2018,07:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,23.22,,,,,,,,,21.0,23.0,9.24,10.72,19.59,1.09,,7.39,,0.08,0.02,,,,,,,,28.83,,,0.01,,,,,,7.13,
01-Sep-2018,07:15,01-Sep-2018,07:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,59.33,,,,,,,,,21.0,23.0,8.16,9.46,17.29,1.05,,6.52,,0.11,0.03,,,,,,,,25.45,,,0.02,,,,,,6.7,
01-Sep-2018,07:30,01-Sep-2018,07:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,84.3,,,,,,,,,21.0,23.0,8.47,9.83,16.77,1.05,,6.78,,0.15,0.05,,,,,,,,26.44,,,0.01,,,,,,8.17,
01-Sep-2018,07:45,01-Sep-2018,08:00,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,122.76,,,,,,,,,21.58,23.18,13.66,15.84,27.02,1.02,,10.93,,0.18,0.06,,,,,,,,42.61,,,0.01,,,,,,9.14,
01-Sep-2018,08:00,01-Sep-2018,08:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,120.19,,,,,,,,,34.0,27.0,8.47,9.83,17.96,0.98,,6.78,,0.16,0.05,,,,,,,,26.44,,,0.02,,,,,,12.0,
01-Sep-2018,08:15,01-Sep-2018,08:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,124.53,,,,,,,,,34.0,27.0,8.85,10.27,18.77,1.04,,7.08,,0.14,0.05,,,,,,,,27.62,,,0.02,,,,,,13.73,
01-Sep-2018,08:30,01-Sep-2018,08:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,165.45,,,,,,,,,34.0,27.0,9.33,10.82,19.77,1.02,,7.46,,0.12,0.04,,,,,,,,29.1,,,0.02,,,,,,17.05,
01-Sep-2018,08:45,01-Sep-2018,09:00,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,154.26,,,,,,,,,34.4,26.69,9.2,10.68,19.51,1.05,,7.36,,0.12,0.03,,,,,,,,28.72,,,0.01,,,,,,20.36,
01-Sep-2018,09:00,01-Sep-2018,09:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,278.61,,,,,,,,,43.0,22.0,8.41,9.76,17.83,1.06,,6.73,,0.13,0.04,,,,,,,,26.24,,,0.02,,,,,,22.49,
01-Sep-2018,09:15,01-Sep-2018,09:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,220.79,,,,,,,,,43.0,22.0,11.01,12.78,23.35,1.0,,8.81,,0.15,0.04,,,,,,,,34.36,59.5,,0.02,,,,,,26.7,
01-Sep-2018,09:30,01-Sep-2018,09:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,176.84,,,,,,,,,43.0,22.0,8.64,10.03,18.32,0.98,,6.91,,0.14,0.05,,,,,,,,26.97,59.13,,0.01,,,,,,29.1,
01-Sep-2018,09:45,01-Sep-2018,10:00,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,114.21,,,,,,,,,43.36,22.0,9.28,10.76,19.67,0.96,,7.42,,0.11,0.05,,,,,,,,28.95,59.73,,0.01,,,,,,31.46,
01-Sep-2018,10:00,01-Sep-2018,10:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,126.38,,,,,,,,,51.0,22.0,9.83,11.4,20.83,0.95,,7.86,,0.09,0.03,,,,,,,,30.66,,,0.01,,,,,,32.04,
01-Sep-2018,10:15,01-Sep-2018,10:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,95.0,,,,,,,,,51.0,22.0,10.12,11.74,21.46,1.01,,8.1,,0.1,0.03,,,,,,,,31.58,,,0.01,,,,,,31.55,
01-Sep-2018,10:30,01-Sep-2018,10:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,131.71,,,,,,,,,51.0,22.0,9.09,10.55,19.28,1.03,,7.27,,0.14,0.05,,,,,,,,28.37,,,0.02,,,,,,30.63,
01-Sep-2018,10:45,01-Sep-2018,11:00,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,157.14,,,,,,,,,50.91,21.87,8.64,10.02,18.31,1.11,,6.91,,0.19,0.04,,,,,,,,26.95,,,0.02,,,,,,31.09,
01-Sep-2018,11:00,01-Sep-2018,11:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,206.86,,,,,,,,,49.0,19.0,9.13,10.6,19.36,1.01,,7.31,,0.2,0.04,,,,,,,,28.5,,,0.02,,,,,,32.63,
01-Sep-2018,11:15,01-Sep-2018,11:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,282.94,,,,,,,,,49.0,19.0,9.18,10.64,19.45,1.04,,7.34,,0.24,0.08,,,,,,,,28.63,55.08,,0.03,,,,,,33.47,
01-Sep-2018,11:30,01-Sep-2018,11:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,262.68,,,,,,,,,49.0,19.0,9.16,10.63,19.42,1.06,,7.33,,0.24,0.07,,,,,,,,28.58,50.8,,0.03,,,,,,34.96,
01-Sep-2018,11:45,01-Sep-2018,12:00,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,251.9,,,,,,,,,49.0,19.0,7.81,9.06,13.25,0.82,,6.25,,0.0,0.0,,,,,,,,24.37,48.87,,0.0,,,,,,36.2,
01-Sep-2018,12:00,01-Sep-2018,12:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,187.42,,,,,,,,,,,9.31,10.8,19.74,0.9,,7.45,,0.0,0.0,,,,,,,,29.04,50.54,,0.0,,,,,,36.23,
01-Sep-2018,12:15,01-Sep-2018,12:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,248.97,,,,,,,,,,,9.21,10.68,19.53,0.93,,7.37,,0.07,0.06,,,,,,,,28.74,58.2,,0.01,,,,,,35.01,
01-Sep-2018,12:30,01-Sep-2018,12:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,336.97,,,,,,,,,,,9.03,10.47,19.13,0.96,,7.22,,0.13,0.05,,,,,,,,28.16,53.85,,0.02,,,,,,36.13,
01-Sep-2018,12:45,01-Sep-2018,13:00,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,331.65,,,,,,,,,,,9.15,10.61,19.4,1.0,,7.32,,0.18,0.06,,,,,,,,28.55,48.95,,0.02,,,,,,36.53,
01-Sep-2018,13:00,01-Sep-2018,13:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,199.78,,,,,,,,,58.0,50.0,9.06,10.51,19.22,0.92,,7.25,,0.2,0.06,,,,,,,,28.28,48.07,,0.02,,,,,,36.76,
01-Sep-2018,13:15,01-Sep-2018,13:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,233.0,,,,,,,,,58.0,50.0,8.57,9.94,18.16,0.97,,6.85,,0.19,0.07,,,,,,,,26.15,53.69,,0.01,,,,,,36.61,
01-Sep-2018,13:30,01-Sep-2018,13:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,257.92,,,,,,,,,58.0,50.0,9.07,10.52,19.23,1.0,,7.26,,0.21,0.06,,,,,,,,28.3,53.19,,0.02,,,,,,36.69,
01-Sep-2018,13:45,01-Sep-2018,14:00,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,230.24,,,,,,,,,58.09,48.42,8.31,9.64,17.62,0.99,,6.65,,0.19,0.06,,,,,,,,25.93,53.67,,0.02,,,,,,37.24,
01-Sep-2018,14:00,01-Sep-2018,14:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,159.18,,,,,,,,,59.0,31.0,9.43,10.94,20.0,0.99,,7.55,,0.24,0.09,,,,,,,,29.43,48.3,,0.02,,,,,,37.37,
01-Sep-2018,14:15,01-Sep-2018,14:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,242.53,,,,,,,,,59.0,31.0,8.76,10.16,18.57,1.04,,7.01,,0.21,0.08,,,,,,,,27.34,47.51,,0.02,,,,,,37.51,
01-Sep-2018,14:30,01-Sep-2018,14:45,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,218.12,,,,,,,,,59.0,31.0,9.18,10.65,19.47,1.11,,7.35,,0.24,0.09,,,,,,,,28.65,46.6,,0.02,,,,,,37.73,
01-Sep-2018,14:45,01-Sep-2018,15:00,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,224.58,,,,,,,,,58.82,31.0,8.95,10.38,18.97,1.12,,7.16,,0.22,0.08,,,,,,,,27.91,45.71,,0.02,,,,,,37.98,
01-Sep-2018,15:00,01-Sep-2018,15:15,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,174.78,,,,,,,,,57.0,31.0,8.45,9.8,17.91,1.03,,6.76,,0.23,0.09,,,,,,,,26.37,51.15,,0.02,,,,,,37.81,
01-Sep-2018,15:15,01-Sep-2018,15:30,Maharashtra,Pune,"Karve Road, Pune - MPCB",0.28,190.19,,,,,,,,,57.0,31.0,9.42,10.92,19.96,0.99,,7.53,,0.22,0.07,,,,,,,,29.38,52.94,,0.02,,,,,,37.92,
