﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-May-2019,00:00,01-May-2019,00:15,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",4.81,21.52,,,40.35,30.7,90.97,1001.55,,,,80.98,16.79,101.54,62.06,1.79,,16.48,,4.14,32.55,,7.07,,,0.42,,,27.38,,,,,,,,,,
01-May-2019,00:15,01-May-2019,00:30,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",4.52,20.59,,,39.9,29.8,77.85,1001.3,,,,80.98,18.93,111.52,68.54,1.68,,14.42,,3.97,32.91,,6.81,,,0.42,,,59.05,,,,,,,,,,
01-May-2019,00:30,01-May-2019,00:45,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",4.29,19.69,,,40.12,30.25,83.17,1001.1,,,,80.98,51.82,102.72,88.78,1.99,,10.61,,3.97,32.4,,7.16,,,0.42,,,125.03,,,,,,,,,,
01-May-2019,00:45,01-May-2019,01:00,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",3.99,18.5,,,39.75,29.5,67.65,1001.1,,,,80.98,25.26,101.84,68.52,1.99,,,,3.97,32.2,,6.81,,,0.42,,,,,,,,,,,,,
01-May-2019,01:00,01-May-2019,01:15,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",4.54,20.48,,,40.05,30.1,86.4,1001.05,,,,95.43,21.16,100.05,64.59,1.38,,21.14,,3.97,32.42,,7.07,,,0.42,,,,,,,,,,,,,
01-May-2019,01:15,01-May-2019,01:30,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",4.34,19.94,,,40.35,30.7,79.95,1001.0,,,,95.43,23.01,89.61,60.88,0.83,,17.76,,3.97,32.2,,6.81,,,0.42,,,,,,,,,,,,,
01-May-2019,01:30,01-May-2019,01:45,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",4.16,19.23,,,39.9,29.8,78.15,1000.85,,,,95.43,17.53,80.55,52.38,1.05,,16.26,,4.11,32.48,,7.55,,,0.42,,,,,,,,,,,,,
01-May-2019,01:45,01-May-2019,02:00,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",5.0,22.25,,,39.9,29.8,95.7,1000.8,,,,95.43,10.26,61.27,37.54,0.9,,,,4.26,32.2,,7.59,,,0.41,,,,,,,,,,,,,
01-May-2019,02:00,01-May-2019,02:15,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",4.43,20.3,,,39.9,29.8,88.35,1000.65,,,,111.1,9.65,48.21,30.71,0.88,,,,3.97,32.2,,7.12,,,0.41,,,,,,,,,,,,,
01-May-2019,02:15,01-May-2019,02:30,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",2.39,12.89,,,39.45,28.9,40.35,1000.5,,,,111.1,8.79,48.09,30.02,0.79,,,,3.97,32.2,,6.81,,,0.41,,,177.95,,,,,,,,,,
01-May-2019,02:30,01-May-2019,02:45,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",0.54,6.12,,,39.0,28.0,3.3,1000.45,,,,111.1,10.14,69.96,41.69,1.07,,2.93,,3.97,32.46,,6.81,,,0.41,,,143.0,,,,,,,,,,
01-May-2019,02:45,01-May-2019,03:00,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",0.56,6.48,,,39.0,28.0,3.9,1000.4,,,,111.1,11.1,69.06,41.96,1.01,,,,3.97,32.2,,6.81,,,0.42,,,141.58,,,,,,,,,,
01-May-2019,03:00,01-May-2019,03:15,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",1.1,8.35,,,39.15,28.3,15.6,1000.25,,,,107.56,11.97,70.82,43.48,0.88,,7.15,,3.97,32.78,,6.81,,,0.41,,,136.36,,,,,,,,,,
01-May-2019,03:15,01-May-2019,03:30,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",0.67,6.62,,,38.85,27.7,6.3,1000.2,,,,107.56,10.38,69.66,41.73,0.78,,13.23,,3.97,32.61,,6.81,,,0.41,,,118.32,,,,,,,,,,
