﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-May-2019,00:00,01-May-2019,00:15,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2.6,100.3,,,32.2,32.6,3.4,978.2,,,396.0,123.0,1.4,57.8,32.0,1.6,,,,5.6,95.8,,,,,,,25.2,147.4,,,,,,,,,,
01-May-2019,00:15,01-May-2019,00:30,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",0.9,272.2,,,33.0,31.1,3.1,978.1,,,396.0,123.0,2.4,56.7,32.2,2.3,,,,5.2,92.3,,,,,,,24.7,73.4,,,,,,,,,,
01-May-2019,00:30,01-May-2019,00:45,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",1.7,332.1,,,32.8,31.3,3.3,978.4,,,423.0,127.0,2.0,54.9,31.0,2.1,,106.8,,5.0,99.8,,,,,,,27.7,,,,,,,,,,,
01-May-2019,00:45,01-May-2019,01:00,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2.7,335.5,,,32.4,31.1,3.3,978.6,,,423.0,127.0,1.7,45.2,25.4,1.5,,,,5.5,98.0,,,,,,,30.2,41.0,,,,,,,,,,
01-May-2019,01:00,01-May-2019,01:15,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",3.5,3.7,,,32.2,30.5,3.5,978.4,,,423.0,127.0,2.1,40.8,23.4,1.4,,,,8.1,64.3,,,,,,,29.1,37.0,,,,,,,,,,
01-May-2019,01:15,01-May-2019,01:30,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",4.0,7.2,,,31.7,30.3,3.6,978.3,,,423.0,127.0,2.4,35.4,20.8,1.5,,,,7.9,42.6,,,,,,,31.8,41.1,,,,,,,,,,
01-May-2019,01:30,01-May-2019,01:45,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2.6,356.6,,,31.3,31.5,3.5,978.1,,,410.0,132.0,1.7,36.9,21.0,1.7,,82.2,,7.3,36.1,,,,,,,34.5,46.3,,,,,,,,,,
01-May-2019,01:45,01-May-2019,02:00,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",3.2,17.7,,,31.2,31.6,3.6,978.0,,,410.0,132.0,,,,,,76.8,,6.6,31.9,,,,,,,,,,,,,,,,,,
01-May-2019,02:00,01-May-2019,02:15,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2.4,27.2,,,30.8,32.0,3.6,978.1,,,410.0,132.0,,,,,,52.4,,6.2,30.8,,,,,,,,,,,,,,,,,,
01-May-2019,02:15,01-May-2019,02:30,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2.5,12.3,,,30.4,32.9,3.5,978.0,,,410.0,132.0,,,,,,52.1,,7.2,30.9,,,,,,,,,,,,,,,,,,
01-May-2019,02:30,01-May-2019,02:45,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",0.8,42.0,,,29.4,35.4,3.4,977.8,,,345.0,117.0,2.9,55.1,31.8,1.9,,39.9,,8.0,33.3,,,,,,,37.5,36.5,,,,,,,,,,
01-May-2019,02:45,01-May-2019,03:00,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2.4,42.2,,,29.7,34.3,3.6,977.6,,,345.0,117.0,2.1,53.8,30.4,1.8,,35.2,,10.1,30.3,,,,,,,35.2,32.4,,,,,,,,,,
01-May-2019,03:00,01-May-2019,03:15,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2.7,43.5,,,30.3,33.0,3.6,977.4,,,345.0,117.0,2.3,55.6,31.4,1.8,,29.8,,9.5,28.2,,,,,,,34.8,31.8,,,,,,,,,,
01-May-2019,03:15,01-May-2019,03:30,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",2.4,46.0,,,30.2,32.9,3.6,977.3,,,345.0,117.0,2.6,53.3,30.2,2.2,,39.7,,7.4,31.7,,,,,,,36.8,41.2,,,,,,,,,,
01-May-2019,03:30,01-May-2019,03:45,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",0.5,59.4,,,29.3,34.8,3.4,977.3,,,349.0,125.0,2.3,48.8,27.9,2.1,,36.1,,8.2,29.3,,,,,,,39.6,48.2,,,,,,,,,,
