﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Feb-2019,00:00,01-Feb-2019,00:15,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.16,199.05,,,,90.62,229.7,,,,56.74,40.14,16.61,15.2,31.81,0.0,,6.13,,5.33,1.48,,0.24,,,,,6.0,,10.98,,,,,,,,,
01-Feb-2019,00:15,01-Feb-2019,00:30,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.29,164.22,,,,91.31,241.7,,,,53.59,40.14,16.44,15.14,31.58,0.0,,5.96,,5.32,1.2,,0.0,,,,,5.97,,10.86,,,,,,,,,
01-Feb-2019,00:30,01-Feb-2019,00:45,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.46,147.98,,,,91.28,245.0,,,,53.59,40.14,16.37,14.94,31.31,0.0,,5.74,,5.34,1.49,,0.35,,,,,6.02,,10.84,,,,,,,,,
01-Feb-2019,00:45,01-Feb-2019,01:00,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.33,134.91,,,,91.02,191.7,,,,53.59,30.08,16.21,14.94,31.15,0.0,,6.46,,5.36,2.06,,0.56,,,,,5.96,,10.72,,,,,,,,,
01-Feb-2019,01:00,01-Feb-2019,01:15,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.1,143.81,,,,91.37,189.7,,,,45.08,28.82,16.09,14.83,30.92,0.0,,6.63,,5.36,2.26,,0.55,,,,,5.95,,10.59,,,,,,,,,
01-Feb-2019,01:15,01-Feb-2019,01:30,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.13,189.27,,,,91.69,183.7,,,,35.36,28.82,15.94,14.68,30.62,0.0,,6.45,,5.36,2.21,,0.53,,,,,5.96,,10.51,,,,,,,,,
01-Feb-2019,01:30,01-Feb-2019,01:45,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.14,143.75,,,,92.16,199.0,,,,35.36,28.82,15.74,14.58,30.32,0.0,,6.33,,5.36,2.15,,0.52,,,,,5.96,,10.45,,,,,,,,,
01-Feb-2019,01:45,01-Feb-2019,02:00,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.22,127.71,,,,92.29,232.3,,,,35.36,23.87,15.47,14.6,30.07,0.0,,6.4,,5.35,2.1,,0.5,,,,,5.91,,10.5,,,,,,,,,
01-Feb-2019,02:00,01-Feb-2019,02:15,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.24,189.25,,,,92.14,203.0,,,,36.89,23.25,15.38,14.47,29.85,0.0,,6.96,,5.35,2.03,,0.49,,,,,5.9,,10.56,,,,,,,,,
01-Feb-2019,02:15,01-Feb-2019,02:30,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.45,99.67,,,,91.82,199.7,,,,39.08,23.25,15.25,14.37,29.62,0.0,,6.67,,5.35,1.99,,0.48,,,,,5.89,,10.62,,,,,,,,,
01-Feb-2019,02:30,01-Feb-2019,02:45,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.39,93.43,,,,91.41,185.0,,,,39.08,23.25,14.84,14.28,29.12,0.0,,6.23,,5.35,1.96,,0.48,,,,,5.86,,10.67,,,,,,,,,
01-Feb-2019,02:45,01-Feb-2019,03:00,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.18,130.78,,,,91.3,185.7,,,,39.08,28.7,14.74,14.15,28.9,0.0,,7.2,,5.34,1.93,,0.47,,,,,6.0,,10.66,,,,,,,,,
01-Feb-2019,03:00,01-Feb-2019,03:15,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.91,86.96,,,,90.75,188.3,,,,36.41,29.46,14.63,14.18,28.81,0.0,,6.86,,5.34,1.91,,0.46,,,,,5.99,,10.81,,,,,,,,,
01-Feb-2019,03:15,01-Feb-2019,03:30,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.63,91.21,,,,90.34,185.0,,,,33.35,29.46,14.51,14.15,28.66,0.0,,6.57,,5.34,1.89,,0.45,,,,,5.94,,10.84,,,,,,,,,
01-Feb-2019,03:30,01-Feb-2019,03:45,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.54,87.55,,,,90.51,185.7,,,,33.35,29.46,14.43,14.08,28.5,0.0,,6.33,,5.34,1.88,,0.4,,,,,5.93,,10.84,,,,,,,,,
01-Feb-2019,03:45,01-Feb-2019,04:00,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.48,83.68,,,,91.19,185.7,,,,33.35,22.09,14.33,14.07,28.4,0.0,,6.7,,5.33,1.89,,0.41,,,,,5.91,,10.76,,,,,,,,,
01-Feb-2019,04:00,01-Feb-2019,04:15,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.09,166.98,,,,91.53,185.0,,,,36.41,21.17,14.3,13.96,28.26,0.0,,6.32,,5.33,1.87,,0.43,,,,,5.97,,10.74,,,,,,,,,
01-Feb-2019,04:15,01-Feb-2019,04:30,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.18,70.75,,,,91.49,201.7,,,,40.07,21.17,14.09,14.1,28.19,0.0,,6.11,,5.33,1.86,,0.43,,,,,5.9,,10.79,,,,,,,,,
01-Feb-2019,04:30,01-Feb-2019,04:45,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.15,164.8,,,,90.99,195.0,,,,40.07,21.17,14.15,14.04,28.19,0.0,,6.35,,5.33,1.87,,0.41,,,,,5.91,,10.86,,,,,,,,,
01-Feb-2019,04:45,01-Feb-2019,05:00,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.2,250.65,,,,90.51,193.0,,,,40.07,16.14,14.21,14.02,28.22,0.0,,6.36,,5.33,1.85,,0.39,,,,,5.86,,10.86,,,,,,,,,
01-Feb-2019,05:00,01-Feb-2019,05:15,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.3,224.35,,,,90.6,187.0,,,,37.08,15.44,14.06,13.9,27.96,0.0,,6.32,,5.33,1.84,,0.36,,,,,5.94,,10.96,,,,,,,,,
01-Feb-2019,05:15,01-Feb-2019,05:30,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.4,300.96,,,,92.19,185.0,,,,32.79,15.44,13.95,13.88,27.83,0.0,,5.92,,5.33,1.85,,0.38,,,,,5.94,,10.76,,,,,,,,,
01-Feb-2019,05:30,01-Feb-2019,05:45,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.25,291.16,,,,94.45,185.0,,,,32.79,15.44,14.09,13.86,27.95,0.0,,5.81,,5.33,1.88,,0.39,,,,,5.92,,10.6,,,,,,,,,
01-Feb-2019,05:45,01-Feb-2019,06:00,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.35,285.38,,,,95.7,187.7,,,,32.79,22.48,14.0,14.03,28.03,0.0,,5.63,,5.33,2.09,,0.16,,,,,5.87,,10.59,,,,,,,,,
01-Feb-2019,06:00,01-Feb-2019,06:15,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB",0.53,303.54,,,,96.28,205.0,,,,29.64,23.46,14.19,13.93,28.11,0.0,,6.96,,5.33,2.28,,0.0,,,,,5.95,,10.42,,,,,,,,,
