﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Feb-2019,00:00,01-Feb-2019,00:15,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.7,87.5,,,14.6,65.2,30.9,993.6,,,320.0,202.0,94.6,58.5,106.0,1.7,,0.2,,4.5,26.6,,,,,,,54.0,28.2,,,,,,,,,,
01-Feb-2019,00:15,01-Feb-2019,00:30,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.5,80.5,,,14.6,65.0,30.6,993.4,,,320.0,202.0,53.2,58.9,72.6,1.5,,,,4.3,24.8,,,,,,,60.0,26.4,,,,,,,,,,
01-Feb-2019,00:30,01-Feb-2019,00:45,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.3,8.5,,,14.5,65.6,30.5,993.1,,,320.0,202.0,29.4,53.9,50.8,1.4,,,,4.2,23.4,,,,,,,62.3,25.5,,,,,,,,,,
01-Feb-2019,00:45,01-Feb-2019,01:00,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.7,80.8,,,14.7,64.6,24.5,993.3,,,284.0,194.0,19.9,54.2,43.1,1.3,,1.5,,4.2,23.6,,,,,,,56.2,26.0,,,,,,,,,,
01-Feb-2019,01:00,01-Feb-2019,01:15,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.4,349.0,,,14.1,70.8,14.4,993.0,,,284.0,194.0,12.4,46.3,32.9,1.2,,,,4.0,25.2,,,,,,,57.0,26.3,,,,,,,,,,
01-Feb-2019,01:15,01-Feb-2019,01:30,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.2,114.7,,,13.6,79.2,15.2,993.2,,,284.0,194.0,13.4,45.8,33.2,1.2,,,,3.5,23.6,,,,,,,65.1,24.5,,,,,,,,,,
01-Feb-2019,01:30,01-Feb-2019,01:45,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.6,69.8,,,14.3,69.1,15.8,993.3,,,284.0,194.0,6.8,34.5,21.9,1.0,,,,3.2,20.2,,,,,,,62.6,25.2,,,,,,,,,,
01-Feb-2019,01:45,01-Feb-2019,02:00,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.2,15.8,,,13.9,74.0,14.6,993.1,,,222.0,161.0,7.5,42.4,26.6,1.0,,6.9,,3.2,17.5,,,,,,,54.8,,,,,,,,,,,
01-Feb-2019,02:00,01-Feb-2019,02:15,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.5,43.0,,,13.8,74.8,15.9,993.0,,,222.0,161.0,,,,,,6.3,,2.8,13.1,,,,,,,,,,,,,,,,,,
01-Feb-2019,02:15,01-Feb-2019,02:30,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.2,48.2,,,13.6,75.9,15.3,992.8,,,222.0,161.0,,,,,,12.4,,2.8,12.2,,,,,,,,,,,,,,,,,,
01-Feb-2019,02:30,01-Feb-2019,02:45,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.4,87.6,,,13.5,76.4,16.3,993.2,,,222.0,161.0,,,,,,8.7,,2.9,11.6,,,,,,,,,,,,,,,,,,
01-Feb-2019,02:45,01-Feb-2019,03:00,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.8,86.4,,,13.6,75.3,16.6,993.1,,,216.0,163.0,22.0,47.7,41.2,1.0,,1.7,,2.8,10.7,,,,,,,45.3,27.4,,,,,,,,,,
01-Feb-2019,03:00,01-Feb-2019,03:15,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",1.0,80.6,,,13.7,73.9,16.6,992.9,,,216.0,163.0,17.6,46.3,36.8,1.0,,2.8,,2.7,10.0,,,,,,,45.1,21.8,,,,,,,,,,
01-Feb-2019,03:15,01-Feb-2019,03:30,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",1.0,85.5,,,13.7,71.1,16.7,992.6,,,216.0,163.0,7.9,33.5,22.2,1.0,,15.6,,2.7,9.7,,,,,,,50.8,24.5,,,,,,,,,,
01-Feb-2019,03:30,01-Feb-2019,03:45,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",1.0,89.5,,,13.7,70.5,16.8,992.8,,,216.0,163.0,6.7,35.0,22.1,0.9,,16.9,,2.7,10.1,,,,,,,55.3,22.5,,,,,,,,,,
01-Feb-2019,03:45,01-Feb-2019,04:00,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.9,77.6,,,13.7,69.5,17.1,992.9,,,197.0,144.0,7.2,38.3,24.2,0.9,,13.1,,2.7,10.4,,,,,,,55.0,23.7,,,,,,,,,,
01-Feb-2019,04:00,01-Feb-2019,04:15,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.7,76.3,,,13.7,69.4,16.8,992.7,,,197.0,144.0,6.8,37.5,23.5,0.9,,13.2,,2.4,10.9,,,,,,,53.0,26.6,,,,,,,,,,
01-Feb-2019,04:15,01-Feb-2019,04:30,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.4,95.9,,,13.5,71.8,16.5,992.7,,,197.0,144.0,5.7,35.8,21.7,0.9,,12.6,,2.4,11.2,,,,,,,54.7,24.7,,,,,,,,,,
01-Feb-2019,04:30,01-Feb-2019,04:45,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.7,74.1,,,13.4,72.3,17.1,992.7,,,197.0,144.0,7.1,40.3,25.2,0.9,,8.9,,2.3,11.0,,,,,,,56.0,23.0,,,,,,,,,,
01-Feb-2019,04:45,01-Feb-2019,05:00,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.4,51.2,,,13.2,74.7,16.7,992.6,,,183.0,136.0,7.9,40.6,26.0,,,8.3,,2.3,11.4,,,,,,,56.2,21.4,,,,,,,,,,
01-Feb-2019,05:00,01-Feb-2019,05:15,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.3,270.0,,,12.3,79.9,14.2,992.2,,,183.0,136.0,7.6,38.9,24.9,1.0,,5.2,,2.3,12.2,,,,,,,54.0,20.9,,,,,,,,,,
01-Feb-2019,05:15,01-Feb-2019,05:30,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.2,265.4,,,12.0,83.5,14.6,992.5,,,183.0,136.0,8.6,38.1,25.2,1.5,,3.7,,2.3,12.7,,,,,,,56.7,21.7,,,,,,,,,,
01-Feb-2019,05:30,01-Feb-2019,05:45,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.1,175.2,,,12.1,84.6,15.5,992.9,,,183.0,136.0,9.4,39.3,26.6,1.2,,1.1,,2.4,12.7,,,,,,,60.4,22.1,,,,,,,,,,
01-Feb-2019,05:45,01-Feb-2019,06:00,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.1,182.1,,,12.2,83.7,15.2,992.8,,,211.0,183.0,10.5,35.5,25.4,1.3,,1.5,,7.1,15.2,,,,,,,58.6,20.8,,,,,,,,,,
01-Feb-2019,06:00,01-Feb-2019,06:15,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.3,339.0,,,12.2,85.9,15.3,992.8,,,211.0,183.0,36.5,40.6,49.4,1.7,,,,12.0,17.8,,,,,,,52.7,22.0,,,,,,,,,,
01-Feb-2019,06:15,01-Feb-2019,06:30,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.4,293.5,,,12.0,86.9,13.9,992.5,,,211.0,183.0,50.8,41.2,61.1,1.8,,,,5.0,14.5,,,,,,,60.6,32.2,,,,,,,,,,
01-Feb-2019,06:30,01-Feb-2019,06:45,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.3,233.1,,,12.0,88.0,14.8,993.1,,,211.0,183.0,58.9,40.2,67.4,1.9,,0.5,,7.1,17.3,,,,,,,64.1,23.6,,,,,,,,,,
01-Feb-2019,06:45,01-Feb-2019,07:00,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.3,126.5,,,12.0,88.4,16.4,993.6,,,290.0,222.0,62.1,43.2,71.5,1.8,,0.2,,7.6,19.4,,,,,,,64.8,24.6,,,,,,,,,,
01-Feb-2019,07:00,01-Feb-2019,07:15,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.3,136.8,,,12.0,87.2,16.6,993.7,,,290.0,222.0,108.8,46.5,110.8,2.4,,,,8.3,21.7,,,,,,,68.1,26.8,,,,,,,,,,
01-Feb-2019,07:15,01-Feb-2019,07:30,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.1,21.9,,,12.0,88.6,20.6,993.7,,,290.0,222.0,137.9,54.7,139.5,2.9,,0.4,,6.1,21.3,,,,,,,70.5,35.5,,,,,,,,,,
01-Feb-2019,07:30,01-Feb-2019,07:45,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",0.3,234.9,,,12.5,87.5,28.5,993.8,,,290.0,222.0,207.3,35.1,183.6,3.4,,1.0,,9.4,22.0,,,,,,,62.0,34.9,,,,,,,,,,
