﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Feb-2019,00:00,01-Feb-2019,00:15,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",1.2,209.4,,,14.2,75.6,4.2,993.5,,,269.0,150.0,13.7,43.4,34.2,1.0,,7.6,,4.6,27.6,,,,,,,,10.8,,,,,,,,,,
01-Feb-2019,00:15,01-Feb-2019,00:30,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",1.0,161.0,,,13.7,80.9,4.2,993.5,,,269.0,150.0,11.6,41.0,31.2,0.9,,7.9,,4.3,26.1,,,,,,,,,,,,,,,,,,
01-Feb-2019,00:30,01-Feb-2019,00:45,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",0.3,152.2,,,13.3,86.5,4.1,993.5,,,219.0,133.0,10.1,37.8,28.3,0.9,,8.3,,4.0,25.3,,,,,,,,10.1,,,,,,,,,,
01-Feb-2019,00:45,01-Feb-2019,01:00,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",0.8,218.8,,,13.3,90.4,4.1,993.5,,,219.0,133.0,9.4,36.7,27.2,1.0,,,,3.7,28.4,,,,,,,,9.6,,,,,,,,,,
01-Feb-2019,01:00,01-Feb-2019,01:15,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",1.4,260.6,,,13.6,86.1,4.1,993.4,,,219.0,133.0,14.3,38.4,32.0,1.0,,,,3.8,31.4,,,,,,,,8.6,,,,,,,,,,
01-Feb-2019,01:15,01-Feb-2019,01:30,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",1.3,227.0,,,13.7,82.6,4.2,993.5,,,219.0,133.0,13.6,38.3,31.4,1.0,,,,4.0,29.9,,,,,,,,9.0,,,,,,,,,,
01-Feb-2019,01:30,01-Feb-2019,01:45,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",1.2,216.8,,,13.7,82.5,4.2,993.4,,,224.0,139.0,11.7,37.2,29.3,,,6.7,,4.0,30.8,,,,,,,,9.7,,,,,,,,,,
01-Feb-2019,01:45,01-Feb-2019,02:00,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",1.3,213.2,,,13.8,79.6,4.2,993.1,,,224.0,139.0,,,,,,9.3,,3.8,30.1,,,,,,,,,,,,,,,,,,
01-Feb-2019,02:00,01-Feb-2019,02:15,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",0.6,205.0,,,13.7,80.0,4.2,993.1,,,224.0,139.0,,,,,,9.6,,3.6,30.1,,,,,,,,,,,,,,,,,,
01-Feb-2019,02:15,01-Feb-2019,02:30,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",0.5,210.9,,,13.4,82.6,4.2,993.2,,,224.0,139.0,,,,,,7.6,,3.5,27.7,,,,,,,,,,,,,,,,,,
01-Feb-2019,02:30,01-Feb-2019,02:45,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",0.8,230.0,,,13.4,80.4,4.2,993.3,,,211.0,143.0,7.4,33.8,24.0,0.9,,9.8,,3.5,25.6,,,,,,,,9.4,,,,,,,,,,
01-Feb-2019,02:45,01-Feb-2019,03:00,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",1.0,230.2,,,13.6,78.9,4.2,993.0,,,211.0,143.0,7.0,34.7,24.2,0.9,,9.8,,3.4,26.4,,,,,,,,8.8,,,,,,,,,,
01-Feb-2019,03:00,01-Feb-2019,03:15,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",1.4,231.5,,,13.5,78.6,4.2,992.7,,,211.0,143.0,6.9,36.2,24.9,0.9,,8.8,,3.4,25.7,,,,,,,,9.0,,,,,,,,,,
01-Feb-2019,03:15,01-Feb-2019,03:30,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",0.8,224.9,,,13.4,78.8,4.2,992.9,,,211.0,143.0,7.0,37.3,25.6,0.9,,8.1,,3.3,24.0,,,,,,,,8.5,,,,,,,,,,
