﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Feb-2019,00:00,01-Feb-2019,00:15,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",1.3,110.0,,,16.4,73.0,19.0,751.0,,,227.0,166.0,2.9,65.2,37.1,1.77,,16.3,,,,,,,,,,44.7,12.1,32.1,,0.0,,,,,,,
01-Feb-2019,00:15,01-Feb-2019,00:30,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",1.4,103.0,,,16.4,73.0,19.0,751.0,,,227.0,166.0,3.2,64.7,37.0,1.72,,18.1,,,,,,,,,,45.0,14.4,32.3,,0.0,,,,,,,
01-Feb-2019,00:30,01-Feb-2019,00:45,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",1.1,101.0,,,16.2,73.0,19.0,751.0,,,227.0,166.0,2.7,61.6,35.0,1.65,,17.2,,,,,,,,,,45.1,14.7,32.5,,0.0,,,,,,,
01-Feb-2019,00:45,01-Feb-2019,01:00,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",1.0,123.0,,,15.9,75.0,19.0,751.0,,,234.0,182.0,2.6,58.8,33.4,1.63,,16.9,,,,,,,,,,45.5,14.1,32.5,,0.0,,,,,,,
01-Feb-2019,01:00,01-Feb-2019,01:15,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",0.9,136.0,,,15.7,77.0,19.0,751.0,,,234.0,182.0,2.9,55.5,31.9,1.5,,18.6,,,,,,,,,,45.2,13.4,32.2,,0.0,,,,,,,
01-Feb-2019,01:15,01-Feb-2019,01:30,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",1.0,108.0,,,15.4,79.0,19.0,751.0,,,234.0,182.0,2.6,53.7,30.7,1.55,,18.0,,,,,,,,,,45.3,12.6,32.4,,0.0,,,,,,,
01-Feb-2019,01:30,01-Feb-2019,01:45,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",0.9,210.0,,,15.2,80.0,19.0,751.0,,,234.0,182.0,2.5,53.6,30.5,1.45,,16.8,,,,,,,,,,45.8,11.2,32.6,,0.0,,,,,,,
01-Feb-2019,01:45,01-Feb-2019,02:00,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",0.6,218.0,,,15.0,81.0,19.0,751.0,,,196.0,160.0,3.2,55.4,32.1,1.2,,17.0,,,,,,,,,,45.9,11.6,32.7,,0.0,,,,,,,
01-Feb-2019,02:00,01-Feb-2019,02:15,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",0.7,135.0,,,15.2,79.0,19.0,751.0,,,196.0,160.0,3.2,53.5,31.1,1.27,,19.3,,,,,,,,,,45.5,12.4,32.3,,0.0,,,,,,,
01-Feb-2019,02:15,01-Feb-2019,02:30,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",0.6,111.0,,,15.2,79.0,19.0,750.0,,,196.0,160.0,2.9,55.2,31.7,1.19,,18.9,,,,,,,,,,46.1,12.6,32.6,,0.0,,,,,,,
01-Feb-2019,02:30,01-Feb-2019,02:45,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",0.8,109.0,,,15.2,78.0,19.0,750.0,,,196.0,160.0,2.9,56.3,32.3,1.06,,17.8,,,,,,,,,,46.7,12.8,32.7,,0.0,,,,,,,
01-Feb-2019,02:45,01-Feb-2019,03:00,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",0.7,153.0,,,15.3,76.0,19.0,750.0,,,191.0,159.0,3.0,52.8,30.5,1.19,,20.2,,,,,,,,,,46.4,12.9,32.3,,0.0,,,,,,,
01-Feb-2019,03:00,01-Feb-2019,03:15,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",0.7,151.0,,,15.3,76.0,19.0,750.0,,,191.0,159.0,3.1,51.4,29.9,0.97,,19.1,,,,,,,,,,45.8,12.6,31.9,,0.0,,,,,,,
01-Feb-2019,03:15,01-Feb-2019,03:30,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",0.9,123.0,,,15.3,77.0,19.0,750.0,,,191.0,159.0,3.1,52.4,30.4,1.08,,20.2,,,,,,,,,,45.8,12.4,31.6,,0.0,,,,,,,
01-Feb-2019,03:30,01-Feb-2019,03:45,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",1.1,143.0,,,15.3,76.0,19.0,750.0,,,191.0,159.0,3.2,54.8,31.8,1.24,,18.9,,,,,,,,,,46.3,12.3,31.3,,0.0,,,,,,,
01-Feb-2019,03:45,01-Feb-2019,04:00,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",1.2,144.0,,,15.4,75.0,19.0,750.0,,,185.0,154.0,3.1,58.4,33.6,0.9,,17.3,,,,,,,,,,47.1,14.1,31.2,,0.0,,,,,,,
01-Feb-2019,04:00,01-Feb-2019,04:15,Uttar Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB",0.9,124.0,,,15.3,75.0,19.0,750.0,,,185.0,154.0,3.3,62.2,35.8,1.03,,15.1,,,,,,,,,,46.4,15.7,31.2,,0.0,,,,,,,
