﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Mar-2019,00:00,01-Mar-2019,00:15,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",0.4,162.0,,,10.1,64.0,7.0,742.0,,,349.0,167.0,22.7,82.0,62.1,1.79,,,,1.1,13.8,,,,,,,34.8,17.4,,,0.0,,,,,,,
01-Mar-2019,00:15,01-Mar-2019,00:30,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.2,162.0,,,10.2,65.0,7.0,742.0,,,349.0,167.0,21.5,83.1,61.7,1.72,,,,1.1,12.3,,,,,,,34.0,15.8,,,0.0,,,,,,,
01-Mar-2019,00:30,01-Mar-2019,00:45,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.5,162.0,,,11.1,62.0,7.0,742.0,,,349.0,167.0,24.8,79.9,62.7,1.57,,0.5,,0.9,10.8,,,,,,,36.5,16.0,,,0.0,,,,,,,
01-Mar-2019,00:45,01-Mar-2019,01:00,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",0.9,162.0,,,11.3,61.0,7.0,742.0,,,349.0,167.0,12.1,75.0,49.8,1.5,,1.0,,0.9,10.9,,,,,,,37.0,18.4,,,0.0,,,,,,,
01-Mar-2019,01:00,01-Mar-2019,01:15,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.6,157.0,,,11.3,61.0,7.0,742.0,,,202.0,124.0,10.7,71.4,46.7,1.42,,2.1,,0.8,9.3,,,,,,,35.5,19.2,,,0.0,,,,,,,
01-Mar-2019,01:15,01-Mar-2019,01:30,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.1,64.0,,,11.5,61.0,7.0,742.0,,,202.0,124.0,9.7,71.5,45.9,1.45,,1.7,,0.7,7.0,,,,,,,36.1,22.0,,,0.0,,,,,,,
01-Mar-2019,01:30,01-Mar-2019,01:45,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.1,126.0,,,11.1,62.0,7.0,742.0,,,202.0,124.0,10.2,73.1,47.2,1.47,,0.2,,0.8,5.8,,,,,,,37.0,23.3,,,0.0,,,,,,,
01-Mar-2019,01:45,01-Mar-2019,02:00,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",2.5,73.0,,,11.8,60.0,7.0,742.0,,,202.0,124.0,8.3,70.6,44.3,1.37,,4.1,,0.9,5.5,,,,,,,36.1,32.1,,,0.0,,,,,,,
01-Mar-2019,02:00,01-Mar-2019,02:15,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.7,56.0,,,11.9,60.0,7.0,742.0,,,185.0,119.0,7.2,69.0,42.5,1.35,,3.8,,0.8,5.8,,,,,,,34.4,50.3,,,0.0,,,,,,,
01-Mar-2019,02:15,01-Mar-2019,02:30,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.5,47.0,,,10.7,63.0,7.0,742.0,,,185.0,119.0,8.5,66.3,42.2,1.36,,1.0,,0.7,5.3,,,,,,,34.3,42.9,,,0.0,,,,,,,
01-Mar-2019,02:30,01-Mar-2019,02:45,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.5,49.0,,,10.7,63.0,7.0,742.0,,,185.0,119.0,9.8,68.9,44.6,1.37,,1.0,,0.7,5.6,,,,,,,34.6,45.2,,,0.0,,,,,,,
01-Mar-2019,02:45,01-Mar-2019,03:00,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.2,44.0,,,10.7,63.0,7.0,742.0,,,185.0,119.0,10.4,71.3,46.4,1.4,,5.1,,0.7,6.1,,,,,,,34.3,48.0,,,0.0,,,,,,,
01-Mar-2019,03:00,01-Mar-2019,03:15,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",0.8,44.0,,,10.2,64.0,7.0,742.0,,,184.0,111.0,10.5,72.1,46.9,1.4,,5.6,,0.7,6.6,,,,,,,32.6,45.7,,,0.0,,,,,,,
01-Mar-2019,03:15,01-Mar-2019,03:30,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.7,57.0,,,10.6,64.0,7.0,742.0,,,184.0,111.0,9.2,71.3,45.4,1.36,,12.5,,0.7,6.6,,,,,,,32.5,52.3,,,0.0,,,,,,,
01-Mar-2019,03:30,01-Mar-2019,03:45,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.7,137.0,,,11.0,63.0,7.0,742.0,,,184.0,111.0,8.5,70.0,44.2,1.33,,9.3,,0.7,6.6,,,,,,,32.7,57.7,,,0.0,,,,,,,
01-Mar-2019,03:45,01-Mar-2019,04:00,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.6,39.0,,,11.1,62.0,7.0,742.0,,,184.0,111.0,7.4,67.8,42.1,1.33,,10.1,,0.7,7.2,,,,,,,32.4,58.2,,,0.0,,,,,,,
01-Mar-2019,04:00,01-Mar-2019,04:15,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",2.1,50.0,,,11.6,61.0,7.0,742.0,,,193.0,110.0,6.4,63.3,38.9,1.28,,19.4,,0.7,8.4,,,,,,,32.3,57.7,,,0.0,,,,,,,
01-Mar-2019,04:15,01-Mar-2019,04:30,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.2,43.0,,,11.4,61.0,7.0,742.0,,,193.0,110.0,5.4,60.2,36.4,1.27,,25.6,,0.7,8.9,,,,,,,33.6,54.7,,,0.0,,,,,,,
01-Mar-2019,04:30,01-Mar-2019,04:45,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",0.7,43.0,,,10.5,63.0,7.0,742.0,,,193.0,110.0,5.9,58.8,36.0,1.44,,30.8,,0.8,8.7,,,,,,,34.8,43.8,,,0.0,,,,,,,
01-Mar-2019,04:45,01-Mar-2019,05:00,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.4,113.0,,,10.1,65.0,7.0,742.0,,,193.0,110.0,13.7,64.8,45.6,1.42,,36.2,,0.8,9.2,,,,,,,33.8,39.4,,,0.0,,,,,,,
01-Mar-2019,05:00,01-Mar-2019,05:15,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.1,111.0,,,10.0,66.0,7.0,742.0,,,207.0,146.0,30.5,81.5,68.2,1.49,,23.2,,0.8,9.3,,,,,,,31.5,36.6,,,0.0,,,,,,,
01-Mar-2019,05:15,01-Mar-2019,05:30,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",0.9,120.0,,,9.3,68.0,7.0,742.0,,,207.0,146.0,34.7,79.3,70.4,1.61,,16.5,,0.9,9.2,,,,,,,34.2,26.4,,,0.0,,,,,,,
01-Mar-2019,05:30,01-Mar-2019,05:45,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.6,65.0,,,9.3,68.0,7.0,742.0,,,207.0,146.0,39.4,88.0,78.8,1.56,,7.1,,0.9,8.7,,,,,,,32.0,21.3,,,0.0,,,,,,,
01-Mar-2019,05:45,01-Mar-2019,06:00,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",2.0,148.0,,,9.6,67.0,7.0,742.0,,,207.0,146.0,47.3,102.5,93.0,1.67,,0.9,,0.9,8.7,,,,,,,29.3,21.2,,,0.0,,,,,,,
01-Mar-2019,06:00,01-Mar-2019,06:15,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.3,160.0,,,9.4,67.0,7.0,742.0,,,174.0,114.0,60.9,110.1,108.1,1.76,,1.1,,0.9,8.7,,,,,,,28.8,23.2,,,0.0,,,,,,,
01-Mar-2019,06:15,01-Mar-2019,06:30,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",0.8,148.0,,,9.0,68.0,7.0,742.0,,,174.0,114.0,63.1,106.2,107.8,1.73,,1.1,,1.0,9.3,,,,,,,31.6,23.8,,,0.0,,,,,,,
01-Mar-2019,06:30,01-Mar-2019,06:45,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.3,45.0,,,9.3,68.0,7.0,742.0,,,174.0,114.0,58.7,104.4,103.2,1.66,,0.5,,1.2,9.7,,,,,,,32.9,25.5,,,0.0,,,,,,,
01-Mar-2019,06:45,01-Mar-2019,07:00,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",2.0,35.0,,,9.8,66.0,8.0,742.0,,,174.0,111.0,54.6,102.8,99.1,1.6,,0.4,,1.2,9.4,,,,,,,31.6,25.9,,,0.0,,,,,,,
01-Mar-2019,07:00,01-Mar-2019,07:15,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.7,31.0,,,10.0,65.0,15.0,742.0,,,177.0,111.0,52.7,100.4,96.3,1.6,,0.3,,1.2,8.8,,,,,,,31.9,25.6,,,0.0,,,,,,,
01-Mar-2019,07:15,01-Mar-2019,07:30,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.6,25.0,,,10.6,64.0,27.0,742.0,,,177.0,111.0,50.2,99.0,93.5,1.57,,0.7,,1.1,8.1,,,,,,,31.8,25.0,,,0.0,,,,,,,
01-Mar-2019,07:30,01-Mar-2019,07:45,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.6,26.0,,,11.4,62.0,45.0,742.0,,,177.0,111.0,48.0,98.3,91.3,1.55,,1.6,,1.1,7.7,,,,,,,32.9,26.6,,,0.0,,,,,,,
01-Mar-2019,07:45,01-Mar-2019,08:00,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.7,30.0,,,12.3,60.0,63.0,742.0,,,177.0,111.0,46.5,99.1,90.5,1.56,,2.4,,1.1,7.2,,,,,,,33.9,28.7,,,0.0,,,,,,,
01-Mar-2019,08:00,01-Mar-2019,08:15,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.7,54.0,,,13.0,59.0,83.0,742.0,,,171.0,111.0,45.3,99.7,89.8,1.58,,,,1.1,6.9,,,,,,,35.2,31.1,,,0.0,,,,,,,
01-Mar-2019,08:15,01-Mar-2019,08:30,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.8,27.0,,,14.1,57.0,104.0,742.0,,,171.0,111.0,43.8,98.6,88.0,1.58,,,,1.1,6.4,,,,,,,37.2,34.5,,,0.0,,,,,,,
01-Mar-2019,08:30,01-Mar-2019,08:45,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",2.8,44.0,,,14.8,55.0,124.0,742.0,,,171.0,111.0,39.9,98.2,84.7,1.57,,,,1.0,5.7,,,,,,,39.9,37.8,,,0.0,,,,,,,
01-Mar-2019,08:45,01-Mar-2019,09:00,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",2.4,118.0,,,15.3,57.0,142.0,742.0,,,171.0,135.0,38.2,97.8,83.1,1.63,,11.2,,1.0,5.4,,,,,,,41.4,38.7,,,0.0,,,,,,,
01-Mar-2019,09:00,01-Mar-2019,09:15,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.7,143.0,,,16.1,57.0,162.0,742.0,,,215.0,135.0,,,,,,11.4,,0.9,5.2,,,,,,,,,,,0.0,,,,,,,
01-Mar-2019,09:15,01-Mar-2019,09:30,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",1.9,54.0,,,17.9,52.0,186.0,742.0,,,215.0,135.0,,,,,,17.9,,0.9,5.0,,,,,,,,,,,0.0,,,,,,,
01-Mar-2019,09:30,01-Mar-2019,09:45,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",2.9,59.0,,,18.3,50.0,208.0,742.0,,,215.0,135.0,,,,,,30.7,,0.9,4.7,,,,,,,,,,,0.0,,,,,,,
01-Mar-2019,09:45,01-Mar-2019,10:00,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",3.5,34.0,,,18.7,47.0,225.0,742.0,,,215.0,135.0,13.4,62.6,44.2,1.06,,46.0,,0.7,4.0,,,,,,,42.8,34.6,,,0.0,,,,,,,
01-Mar-2019,10:00,01-Mar-2019,10:15,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",2.7,64.0,,,19.6,45.0,244.0,742.0,,,216.0,132.0,10.1,55.0,37.5,1.02,,57.8,,0.5,3.0,,,,,,,40.6,32.5,,,0.0,,,,,,,
