﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Apr-2019,00:00,01-Apr-2019,00:15,West Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",0.1,97.46,,,27.98,85.37,6.0,1006.5,,,81.6,49.44,2.65,19.69,22.08,0.1,,4.87,,1.65,,,,,,0.17,,41.18,1.63,,,0.0,,,,,,,
01-Apr-2019,00:15,01-Apr-2019,00:30,West Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",1.36,192.42,,,27.74,87.44,4.8,1005.9,,,81.6,49.44,3.26,18.2,21.45,0.21,,5.76,,1.54,,,,,,0.18,,43.28,1.38,,,0.0,,,,,,,
01-Apr-2019,00:30,01-Apr-2019,00:45,West Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",0.51,178.56,,,27.54,89.24,4.9,1005.3,,,81.6,49.44,1.8,18.41,18.81,0.25,,6.07,,1.3,,,,,,0.17,,42.61,1.32,,,0.0,,,,,,,
01-Apr-2019,00:45,01-Apr-2019,01:00,West Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",0.86,181.45,,,27.22,90.49,5.2,1005.3,,,77.05,49.56,1.0,16.79,15.65,0.24,,5.59,,1.58,,,,,,0.16,,41.34,1.3,,,0.0,,,,,,,
01-Apr-2019,01:00,01-Apr-2019,01:15,West Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",1.03,198.62,,,27.1,91.22,5.7,1005.1,,,71.61,49.7,2.99,18.61,21.11,0.22,,6.0,,1.62,,,,,,0.15,,40.23,1.77,,,0.0,,,,,,,
01-Apr-2019,01:15,01-Apr-2019,01:30,West Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",0.68,221.5,,,26.81,92.19,5.4,1004.9,,,71.61,49.7,1.02,15.92,15.81,0.23,,6.35,,1.51,,,,,,0.15,,39.52,1.69,,,0.0,,,,,,,
01-Apr-2019,01:30,01-Apr-2019,01:45,West Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",0.5,176.04,,,26.56,92.46,5.3,1004.6,,,71.61,49.7,1.03,15.73,16.32,0.23,,7.49,,1.54,,,,,,0.13,,38.22,1.42,,,0.0,,,,,,,
01-Apr-2019,01:45,01-Apr-2019,02:00,West Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",1.08,217.99,,,26.45,91.11,5.4,1004.5,,,69.23,46.5,1.32,15.21,16.0,0.24,,7.07,,1.41,,,,,,0.17,,37.54,0.95,,,0.0,,,,,,,
01-Apr-2019,02:00,01-Apr-2019,02:15,West Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",0.66,226.26,,,26.25,90.34,5.0,1004.6,,,66.4,42.67,2.19,16.62,18.45,0.21,,10.22,,1.43,,,,,,0.16,,41.45,1.5,,,0.0,,,,,,,
01-Apr-2019,02:15,01-Apr-2019,02:30,West Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB",0.72,227.44,,,26.16,88.11,5.5,1004.5,,,66.4,42.67,5.22,14.9,20.12,0.25,,15.73,,1.55,,,,,,0.18,,47.87,0.36,,,0.0,,,,,,,
