﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Apr-2019,00:00,01-Apr-2019,00:15,Delhi,Delhi,"Pusa, Delhi - DPCC",1.5,242.5,,,25.2,41.0,3.1,984.5,,,161.0,52.0,9.7,47.8,33.3,0.7,,35.2,,3.7,27.4,,,,,,,28.5,23.0,,,,,,,,,,
01-Apr-2019,00:15,01-Apr-2019,00:30,Delhi,Delhi,"Pusa, Delhi - DPCC",1.4,239.4,,,24.8,42.3,3.1,984.5,,,161.0,52.0,8.8,53.0,35.5,0.7,,33.7,,4.2,19.0,,,,,,,25.8,22.5,,,,,,,,,,
01-Apr-2019,00:30,01-Apr-2019,00:45,Delhi,Delhi,"Pusa, Delhi - DPCC",1.9,243.4,,,24.6,43.2,3.2,984.5,,,135.0,40.0,9.7,45.0,32.0,0.7,,36.0,,3.5,16.1,,,,,,,29.2,23.1,,,,,,,,,,
01-Apr-2019,00:45,01-Apr-2019,01:00,Delhi,Delhi,"Pusa, Delhi - DPCC",1.9,245.3,,,24.4,43.7,3.1,984.4,,,135.0,40.0,20.9,34.9,35.8,0.6,,,,3.0,13.4,,,,,,,28.9,25.1,,,,,,,,,,
01-Apr-2019,01:00,01-Apr-2019,01:15,Delhi,Delhi,"Pusa, Delhi - DPCC",1.9,250.5,,,24.2,44.3,3.1,984.3,,,135.0,40.0,9.0,43.1,30.1,0.6,,,,2.4,12.1,,,,,,,24.6,26.9,,,,,,,,,,
01-Apr-2019,01:15,01-Apr-2019,01:30,Delhi,Delhi,"Pusa, Delhi - DPCC",1.7,249.0,,,24.0,44.8,3.1,984.1,,,135.0,40.0,7.9,37.3,26.2,0.6,,,,2.7,12.2,,,,,,,29.5,27.2,,,,,,,,,,
01-Apr-2019,01:30,01-Apr-2019,01:45,Delhi,Delhi,"Pusa, Delhi - DPCC",1.7,243.7,,,23.9,45.0,3.1,983.9,,,133.0,51.0,12.1,47.3,35.2,0.6,,39.5,,2.7,10.6,,,,,,,26.1,27.1,,,,,,,,,,
01-Apr-2019,01:45,01-Apr-2019,02:00,Delhi,Delhi,"Pusa, Delhi - DPCC",1.2,248.8,,,23.4,46.5,3.1,983.7,,,133.0,51.0,,,,,,41.1,,3.5,12.2,,,,,,,,,,,,,,,,,,
01-Apr-2019,02:00,01-Apr-2019,02:15,Delhi,Delhi,"Pusa, Delhi - DPCC",1.4,237.9,,,23.2,46.9,3.2,983.7,,,133.0,51.0,,,,,,40.9,,3.2,9.6,,,,,,,,,,,,,,,,,,
01-Apr-2019,02:15,01-Apr-2019,02:30,Delhi,Delhi,"Pusa, Delhi - DPCC",1.6,235.4,,,23.2,46.8,3.1,983.6,,,133.0,51.0,,,,,,42.3,,3.2,10.9,,,,,,,,,,,,,,,,,,
