﻿From Date,From Time,To Date,To Time,State Name,city,Station,WS,WD,Gust,Variance,AT,RH,SR,BP,PPAccum,Power,PM10,PM2_5,NO,NO2,NOx,CO,CO2,Ozone,BlackCarbon,Benzene,Toluene,Eth-Benzene,Xylene,CH4,NMHC,VWS,THC,NH3,SO2,Temp,MP-Xylene,RF,RackTemp,P_Xylene,O Xylene,ETH,SPM,AP,MH
01-Apr-2019,00:00,01-Apr-2019,00:15,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",6.1,327.5,,,22.8,46.2,7.0,983.0,,,128.0,42.0,1.6,21.7,12.8,0.4,,69.7,,0.0,0.0,,,,,,,22.2,15.1,,,,,,,,,,
01-Apr-2019,00:15,01-Apr-2019,00:30,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",6.4,302.1,,,21.5,53.1,6.9,982.8,,,128.0,42.0,1.8,20.8,12.5,0.3,,61.0,,0.0,0.0,,,,,,,22.2,14.1,,,,,,,,,,
01-Apr-2019,00:30,01-Apr-2019,00:45,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",6.5,312.1,,,21.3,52.6,6.8,982.8,,,116.0,40.0,1.0,20.3,11.7,0.3,,59.3,,0.0,0.0,,,,,,,22.2,13.2,,,,,,,,,,
01-Apr-2019,00:45,01-Apr-2019,01:00,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",6.2,336.4,,,22.7,46.6,7.1,982.8,,,116.0,40.0,0.9,17.9,10.3,0.1,,,,0.0,0.0,,,,,,,22.4,14.8,,,,,,,,,,
01-Apr-2019,01:00,01-Apr-2019,01:15,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",6.6,311.3,,,22.2,49.0,6.9,982.7,,,116.0,40.0,1.3,16.9,10.0,0.2,,,,0.0,0.0,,,,,,,22.6,16.0,,,,,,,,,,
01-Apr-2019,01:15,01-Apr-2019,01:30,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",6.2,297.4,,,21.1,54.1,6.9,982.5,,,116.0,40.0,1.1,17.6,10.2,0.5,,,,0.0,0.0,,,,,,,22.7,14.1,,,,,,,,,,
01-Apr-2019,01:30,01-Apr-2019,01:45,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",5.8,297.6,,,20.0,58.0,7.1,982.4,,,149.0,34.0,1.3,21.0,12.2,0.7,,52.0,,0.0,0.0,,,,,,,24.1,12.6,,,,,,,,,,
01-Apr-2019,01:45,01-Apr-2019,02:00,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",5.8,298.3,,,19.4,61.4,7.0,982.2,,,149.0,34.0,,,,,,46.8,,0.0,0.0,,,,,,,,,,,,,,,,,,
01-Apr-2019,02:00,01-Apr-2019,02:15,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",6.0,300.6,,,18.2,68.8,6.9,982.1,,,149.0,34.0,,,,,,37.4,,0.0,0.0,,,,,,,,,,,,,,,,,,
01-Apr-2019,02:15,01-Apr-2019,02:30,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",5.5,291.7,,,18.0,69.8,7.0,982.1,,,149.0,34.0,,,,,,37.7,,0.0,0.0,,,,,,,,,,,,,,,,,,
